Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;1;Эшли Саттон;None;None;34;48.525;None;None;89.612
2;32;Daniel Rowbottom;None;None;31;48.571;0.046;0.046;89.527
3;52;Гордон Шедден;None;None;23;48.582;0.057;0.011;89.507
4;80;Том Ингрэм;None;None;23;48.710;0.185;0.128;89.272
5;18;Сенна Проктор;None;None;27;48.765;0.240;0.055;89.171
6;33;Адам Морган;None;None;26;48.791;0.266;0.026;89.124
7;15;Том Олифан;None;None;28;48.801;0.276;0.010;89.106
8;11;Джейсон Плейто;None;None;28;48.802;0.277;0.001;89.104
9;12;Стивен Джелли;None;None;24;48.836;0.311;0.034;89.042
10;66;Джош Кук;None;None;23;48.844;0.319;0.008;89.027
11;41;Carl Boardley;None;None;31;48.871;0.346;0.027;88.978
12;22;Крис Смайли;None;None;30;48.873;0.348;0.002;88.974
13;40;Арон Смит;None;None;32;48.924;0.399;0.051;88.882
14;2;Колин Теркингтон;None;None;27;48.948;0.423;0.024;88.838
15;31;Джек Гофф;None;None;30;48.963;0.438;0.015;88.811
16;6;Рори Батчер;None;None;23;48.970;0.445;0.007;88.798
17;24;Джейк Хилл;None;None;29;48.978;0.453;0.008;88.784
18;3;Том Чилтон;None;None;29;49.014;0.489;0.036;88.718
19;123;Даниэль Ллойд;None;None;25;49.041;0.516;0.027;88.669
20;16;Айден Моффат;None;None;34;49.046;0.521;0.005;88.660
21;23;Sam Smelt;None;None;27;49.167;0.642;0.121;88.442
22;88;Глинн Джедди;None;None;25;49.198;0.673;0.031;88.387
23;96;Jack Butel;None;None;31;49.222;0.697;0.024;88.343
24;99;Jade Edwards;None;None;32;49.242;0.717;0.020;88.308
25;48;Олли Джексон;None;None;20;49.281;0.756;0.039;88.238
26;44;Энди Нити;None;None;30;49.436;0.911;0.155;87.961
27;62;Рик Парфитт-мл.;None;None;28;49.606;1.081;0.170;87.660
28;4;Sam Osborne;None;None;29;49.613;1.088;0.007;87.647
29;28;Николас Хэмилтон;None;None;2;None;None;None;None
