Позиция;#;Гонщик;None;Команда;Время;Отрыв;км/ч;Очки
1;32;Daniel Rowbottom;None;None;48.074;None;90.453;None
2;52;Гордон Шедден;None;None;48.079;0.005;90.444;None
3;24;Джейк Хилл;None;None;48.179;0.105;90.256;None
4;15;Том Олифан;None;None;48.184;0.110;90.247;None
5;16;Айден Моффат;None;None;48.318;0.244;89.996;None
6;80;Том Ингрэм;None;None;48.332;0.258;89.970;None
7;1;Эшли Саттон;None;None;48.370;0.296;89.900;None
8;22;Крис Смайли;None;None;48.372;0.298;89.896;None
9;66;Джош Кук;None;None;48.407;0.333;89.831;None
10;12;Стивен Джелли;None;None;48.428;0.354;89.792;None
11;31;Джек Гофф;None;None;48.428;0.354;89.792;None
12;123;Даниэль Ллойд;None;None;48.431;0.357;89.786;None
13;18;Сенна Проктор;None;None;48.433;0.359;89.783;None
14;2;Колин Теркингтон;None;None;48.457;0.383;89.738;None
15;4;Sam Osborne;None;None;48.493;0.419;89.671;None
16;6;Рори Батчер;None;None;48.506;0.432;89.647;None
17;11;Джейсон Плейто;None;None;48.522;0.448;89.618;None
18;41;Carl Boardley;None;None;48.580;0.506;89.511;None
19;48;Олли Джексон;None;None;48.617;0.543;89.443;None
20;40;Арон Смит;None;None;48.677;0.603;89.333;None
21;33;Адам Морган;None;None;48.680;0.606;89.327;None
22;88;Глинн Джедди;None;None;48.727;0.653;89.241;None
23;99;Jade Edwards;None;None;48.756;0.682;89.188;None
24;3;Том Чилтон;None;None;48.885;0.811;88.952;None
25;62;Рик Парфитт-мл.;None;None;48.903;0.829;88.920;None
26;23;Sam Smelt;None;None;48.909;0.835;88.909;None
27;96;Jack Butel;None;None;48.982;0.908;88.776;None
28;44;Энди Нити;None;None;48.984;0.910;88.773;None
29;28;Николас Хэмилтон;None;None;49.325;1.251;88.159;None
