#;Гонщик;None;Класс;Команда;Машина;Балласт
1;Эшли Саттон;None;None;Laser Tools Racing;Infiniti Q50;None
2;Колин Теркингтон;None;None;Team BMW;BMW 330i M Sport;None
3;Том Чилтон;None;None;Car Gods with Ciceley Motorsport;BMW 330i M Sport;None
4;Sam Osborne;None;None;Racing with Wera & Photon Group;Ford Focus ST;None
6;Рори Батчер;None;None;Toyota Gazoo Racing UK;Toyota Corolla GR Sport;None
11;Джейсон Плейто;None;None;Adrian Flux with Power Maxed Racing;Vauxhall Astra;None
12;Стивен Джелли;None;None;Team BMW;BMW 330i M Sport;None
15;Том Олифан;None;None;Team BMW;BMW 330i M Sport;None
16;Айден Моффат;None;None;Laser Tools Racing;Infiniti Q50;None
18;Сенна Проктор;None;None;BTC Racing;Honda Civic Type R;None
21;Джессика Хокинс;None;None;Racing with Wera & Photon Group;Ford Focus ST;None
22;Крис Смайли;None;None;Ginsters Excelr8 with TradePriceCars.com;Hyundai i30 Fastback N Performance;None
23;Sam Smelt;None;None;Toyota Gazoo Racing UK;Toyota Corolla GR Sport;None
24;Джейк Хилл;None;None;MB Motorsport accelerated by Blue Square;Ford Focus ST;None
28;Николас Хэмилтон;None;None;ROKiT Racing with iQuoto Online Trading;Cupra León;None
31;Джек Гофф;None;None;Team HARD with Autobrite Direct;Cupra León;None
32;Daniel Rowbottom;None;None;Halfords Racing with Cataclean;Honda Civic Type R;None
33;Адам Морган;None;None;Car Gods with Ciceley Motorsport;BMW 330i M Sport;None
40;Арон Смит;None;None;Team HARD with HUB Financial Solutions;Cupra León;None
41;Carl Boardley;None;None;Laser Tools Racing;Infiniti Q50;None
48;Олли Джексон;None;None;MB Motorsport accelerated by Blue Square;Ford Focus ST;None
52;Гордон Шедден;None;None;Halfords Racing with Cataclean;Honda Civic Type R;None
62;Рик Парфитт-мл.;None;None;Excelr8 with TradePriceCars.com;Hyundai i30 Fastback N Performance;None
66;Джош Кук;None;None;BTC Racing;Honda Civic Type R;None
80;Том Ингрэм;None;None;Ginsters Excelr8 with TradePriceCars.com;Hyundai i30 Fastback N Performance;None
88;Глинн Джедди;None;None;Team HARD with Autobrite Direct;Cupra León;None
96;Jack Butel;None;None;Excelr8 with TradePriceCars.com;Hyundai i30 Fastback N Performance;None
99;Jade Edwards;None;None;PHSC with BTC Racing;Honda Civic Type R;None
123;Даниэль Ллойд;None;None;Adrian Flux with Power Maxed Racing;Vauxhall Astra;None
