Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;52;Гордон Шедден;None;None;9;1'57.910;None;None;90.646
2;80;Том Ингрэм;None;None;6;1'58.076;0.166;0.166;90.518
3;1;Эшли Саттон;None;None;9;1'58.114;0.204;0.038;90.489
4;66;Джош Кук;None;None;6;1'58.134;0.224;0.020;90.474
5;12;Стивен Джелли;None;None;6;1'58.414;0.504;0.280;90.260
6;18;Сенна Проктор;None;None;6;1'58.429;0.519;0.015;90.249
7;15;Том Олифан;None;None;5;1'58.515;0.605;0.086;90.183
8;123;Даниэль Ллойд;None;None;4;1'58.548;0.638;0.033;90.158
9;31;Джек Гофф;None;None;4;1'58.572;0.662;0.024;90.140
10;16;Айден Моффат;None;None;4;1'58.644;0.734;0.072;90.085
11;22;Крис Смайли;None;None;4;1'58.646;0.736;0.002;90.083
12;24;Джейк Хилл;None;None;4;1'58.649;0.739;0.003;90.081
13;6;Рори Батчер;None;None;7;1'58.697;0.787;0.048;90.045
14;21;Джессика Хокинс;None;None;5;1'58.726;0.816;0.029;90.023
15;32;Daniel Rowbottom;None;None;4;1'58.757;0.847;0.031;89.999
16;2;Колин Теркингтон;None;None;7;1'58.774;0.864;0.017;89.986
17;3;Том Чилтон;None;None;5;1'58.794;0.884;0.020;89.971
18;33;Адам Морган;None;None;7;1'58.915;1.005;0.121;89.880
19;40;Арон Смит;None;None;4;1'58.950;1.040;0.035;89.853
20;88;Глинн Джедди;None;None;5;1'59.033;1.123;0.083;89.791
21;99;Jade Edwards;None;None;5;1'59.067;1.157;0.034;89.765
22;4;Sam Osborne;None;None;7;1'59.087;1.177;0.020;89.750
23;11;Джейсон Плейто;None;None;5;1'59.134;1.224;0.047;89.714
24;96;Jack Butel;None;None;5;1'59.555;1.645;0.421;89.399
25;62;Рик Парфитт-мл.;None;None;6;2'00.189;2.279;0.634;88.927
26;28;Николас Хэмилтон;None;None;5;2'00.258;2.348;0.069;88.876
27;23;Sam Smelt;None;None;5;2'00.327;2.417;0.069;88.825
28;48;Олли Джексон;None;None;2;2'02.055;4.145;1.728;87.567
