Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;80;Том Ингрэм;None;None;13;1'55.785;None;None;92.309
2;1;Эшли Саттон;None;None;10;1'56.121;0.336;0.336;92.042
3;2;Колин Теркингтон;None;None;14;1'56.153;0.368;0.032;92.017
4;52;Гордон Шедден;None;None;10;1'56.310;0.525;0.157;91.893
5;12;Стивен Джелли;None;None;11;1'56.492;0.707;0.182;91.749
6;123;Даниэль Ллойд;None;None;13;1'56.553;0.768;0.061;91.701
7;48;Олли Джексон;None;None;13;1'56.605;0.820;0.052;91.660
8;6;Рори Батчер;None;None;13;1'56.687;0.902;0.082;91.596
9;24;Джейк Хилл;None;None;5;1'56.804;1.019;0.117;91.504
10;33;Адам Морган;None;None;12;1'56.827;1.042;0.023;91.486
11;66;Джош Кук;None;None;13;1'56.852;1.067;0.025;91.466
12;11;Джейсон Плейто;None;None;13;1'56.892;1.107;0.040;91.435
13;4;Sam Osborne;None;None;15;1'57.042;1.257;0.150;91.318
14;16;Айден Моффат;None;None;14;1'57.092;1.307;0.050;91.279
15;31;Джек Гофф;None;None;13;1'57.111;1.326;0.019;91.264
16;22;Крис Смайли;None;None;12;1'57.149;1.364;0.038;91.235
17;18;Сенна Проктор;None;None;11;1'57.254;1.469;0.105;91.153
18;15;Том Олифан;None;None;13;1'57.408;1.623;0.154;91.033
19;3;Том Чилтон;None;None;13;1'57.414;1.629;0.006;91.029
20;21;Джессика Хокинс;None;None;14;1'57.425;1.640;0.011;91.020
21;40;Арон Смит;None;None;9;1'58.006;2.221;0.581;90.572
22;88;Глинн Джедди;None;None;11;1'58.170;2.385;0.164;90.446
23;62;Рик Парфитт-мл.;None;None;13;1'58.240;2.455;0.070;90.393
24;41;Carl Boardley;None;None;11;1'58.359;2.574;0.119;90.302
25;23;Sam Smelt;None;None;13;1'58.468;2.683;0.109;90.219
26;99;Jade Edwards;None;None;13;1'58.482;2.697;0.014;90.208
27;28;Николас Хэмилтон;None;None;9;1'58.635;2.850;0.153;90.092
28;96;Jack Butel;None;None;12;1'59.124;3.339;0.489;89.722
29;32;Daniel Rowbottom;None;None;6;None;None;None;None
