Позиция;#;Гонщик;None;Команда;Время;Отрыв;км/ч;Очки
1;2;Колин Теркингтон;None;None;1'55.294;None;92.702;None
2;80;Том Ингрэм;None;None;1'55.585;0.291;92.469;None
3;15;Том Олифан;None;None;1'55.710;0.416;92.369;None
4;6;Рори Батчер;None;None;1'55.905;0.611;92.214;None
5;24;Джейк Хилл;None;None;1'55.956;0.662;92.173;None
6;12;Стивен Джелли;None;None;1'56.076;0.782;92.078;None
7;48;Олли Джексон;None;None;1'56.131;0.837;92.034;None
8;123;Даниэль Ллойд;None;None;1'56.140;0.846;92.027;None
9;33;Адам Морган;None;None;1'56.155;0.861;92.015;None
10;32;Daniel Rowbottom;None;None;1'56.355;1.061;91.857;None
11;22;Крис Смайли;None;None;1'56.460;1.166;91.774;None
12;3;Том Чилтон;None;None;1'56.543;1.249;91.709;None
13;31;Джек Гофф;None;None;1'56.592;1.298;91.670;None
14;4;Sam Osborne;None;None;1'56.711;1.417;91.577;None
15;1;Эшли Саттон;None;None;1'56.719;1.425;91.571;None
16;66;Джош Кук;None;None;1'56.809;1.515;91.500;None
17;21;Джессика Хокинс;None;None;1'56.860;1.566;91.460;None
18;11;Джейсон Плейто;None;None;1'56.948;1.654;91.391;None
19;40;Арон Смит;None;None;1'56.986;1.692;91.362;None
20;16;Айден Моффат;None;None;1'57.033;1.739;91.325;None
21;18;Сенна Проктор;None;None;1'57.078;1.784;91.290;None
22;41;Carl Boardley;None;None;1'57.098;1.804;91.274;None
23;23;Sam Smelt;None;None;1'57.501;2.207;90.961;None
24;99;Jade Edwards;None;None;1'57.847;2.553;90.694;None
25;96;Jack Butel;None;None;1'58.220;2.926;90.408;None
26;62;Рик Парфитт-мл.;None;None;1'58.319;3.025;90.332;None
27;28;Николас Хэмилтон;None;None;1'58.458;3.164;90.226;None
None;52;Гордон Шедден;None;None;None;None;None;None
