Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;66;Джош Кук;None;None;6;1'16.453;None;None;110.939
2;27;Дэн Кэммиш;None;None;7;1'16.673;0.220;0.220;110.620
3;1;Эшли Саттон;None;None;8;1'16.782;0.329;0.109;110.463
4;24;Джейк Хилл;None;None;6;1'16.861;0.408;0.079;110.350
5;33;Адам Морган;None;None;9;1'17.018;0.565;0.157;110.125
6;32;Daniel Rowbottom;None;None;8;1'17.121;0.668;0.103;109.978
7;11;Джейсон Плейто;None;None;8;1'17.188;0.735;0.067;109.882
8;15;Том Олифан;None;None;6;1'17.290;0.837;0.102;109.737
9;16;Айден Моффат;None;None;6;1'17.360;0.907;0.070;109.638
10;22;Крис Смайли;None;None;7;1'17.431;0.978;0.071;109.538
11;80;Том Ингрэм;None;None;8;1'17.469;1.016;0.038;109.484
12;2;Колин Теркингтон;None;None;8;1'17.529;1.076;0.060;109.399
13;31;Джек Гофф;None;None;8;1'17.766;1.313;0.237;109.066
14;52;Гордон Шедден;None;None;7;1'17.863;1.410;0.097;108.930
15;4;Sam Osborne;None;None;7;1'17.868;1.415;0.005;108.923
16;12;Стивен Джелли;None;None;10;1'17.881;1.428;0.013;108.905
17;48;Олли Джексон;None;None;6;1'17.898;1.445;0.017;108.881
18;123;Даниэль Ллойд;None;None;9;1'17.920;1.467;0.022;108.850
19;41;Carl Boardley;None;None;8;1'17.991;1.538;0.071;108.751
20;40;Арон Смит;None;None;7;1'18.056;1.603;0.065;108.660
21;62;Рик Парфитт-мл.;None;None;8;1'18.702;2.249;0.646;107.769
22;23;Sam Smelt;None;None;8;1'18.869;2.416;0.167;107.540
23;96;Jack Butel;None;None;12;1'18.935;2.482;0.066;107.450
24;28;Николас Хэмилтон;None;None;8;1'19.302;2.849;0.367;106.953
