Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;52;Гордон Шедден;None;None;15;1'20.994;None;None;104.719
2;1;Эшли Саттон;None;None;20;1'21.194;0.200;0.200;104.461
3;32;Daniel Rowbottom;None;None;13;1'21.260;0.266;0.066;104.376
4;27;Дэн Кэммиш;None;None;8;1'21.338;0.344;0.078;104.276
5;15;Том Олифан;None;None;17;1'21.417;0.423;0.079;104.175
6;11;Джейсон Плейто;None;None;16;1'21.539;0.545;0.122;104.019
7;80;Том Ингрэм;None;None;16;1'21.547;0.553;0.008;104.009
8;16;Айден Моффат;None;None;16;1'21.579;0.585;0.032;103.968
9;66;Джош Кук;None;None;13;1'21.791;0.797;0.212;103.698
10;33;Адам Морган;None;None;14;1'21.895;0.901;0.104;103.567
11;24;Джейк Хилл;None;None;19;1'21.990;0.996;0.095;103.447
12;6;Рори Батчер;None;None;14;1'21.992;0.998;0.002;103.444
13;123;Даниэль Ллойд;None;None;9;1'22.221;1.227;0.229;103.156
14;48;Олли Джексон;None;None;14;1'22.376;1.382;0.155;102.962
15;22;Крис Смайли;None;None;18;1'22.399;1.405;0.023;102.933
16;31;Джек Гофф;None;None;18;1'22.480;1.486;0.081;102.832
17;12;Стивен Джелли;None;None;10;1'22.681;1.687;0.201;102.582
18;40;Арон Смит;None;None;18;1'22.861;1.867;0.180;102.359
19;2;Колин Теркингтон;None;None;16;1'23.025;2.031;0.164;102.157
20;4;Sam Osborne;None;None;17;1'23.045;2.051;0.020;102.133
21;44;Энди Нити;None;None;17;1'23.049;2.055;0.004;102.128
22;41;Carl Boardley;None;None;15;1'23.062;2.068;0.013;102.112
23;3;Том Чилтон;None;None;16;1'23.147;2.153;0.085;102.007
24;23;Sam Smelt;None;None;18;1'23.308;2.314;0.161;101.810
25;99;Jade Edwards;None;None;14;1'24.270;3.276;0.962;100.648
26;96;Jack Butel;None;None;19;1'24.666;3.672;0.396;100.177
27;28;Николас Хэмилтон;None;None;18;1'24.882;3.888;0.216;99.922
28;62;Рик Парфитт-мл.;None;None;17;1'25.175;4.181;0.293;99.579
