Позиция;#;Гонщик;None;Команда;Время;Отрыв;км/ч;Очки
1;1;Эшли Саттон;None;None;1'18.305;None;108.315;None
2;66;Джош Кук;None;None;1'18.358;0.053;108.242;None
3;2;Колин Теркингтон;None;None;1'18.667;0.362;107.816;None
4;80;Том Ингрэм;None;None;1'18.718;0.413;107.747;None
5;6;Рори Батчер;None;None;1'18.835;0.530;107.587;None
6;15;Том Олифан;None;None;1'18.891;0.586;107.510;None
7;24;Джейк Хилл;None;None;1'18.909;0.604;107.486;None
8;52;Гордон Шедден;None;None;1'19.115;0.810;107.206;None
9;48;Олли Джексон;None;None;1'19.946;1.641;106.092;None
10;22;Крис Смайли;None;None;1'20.045;1.740;105.960;None
11;11;Джейсон Плейто;None;None;1'20.278;1.973;105.653;None
12;27;Дэн Кэммиш;None;None;1'20.393;2.088;105.502;None
13;41;Carl Boardley;None;None;1'20.713;2.408;105.083;None
14;33;Адам Морган;None;None;1'20.763;2.458;105.018;None
15;31;Джек Гофф;None;None;1'20.935;2.630;104.795;None
16;32;Daniel Rowbottom;None;None;1'20.982;2.677;104.734;None
17;99;Jade Edwards;None;None;1'21.274;2.969;104.358;None
18;12;Стивен Джелли;None;None;1'21.476;3.171;104.099;None
19;40;Арон Смит;None;None;1'21.477;3.172;104.098;None
20;3;Том Чилтон;None;None;1'21.615;3.310;103.922;None
21;16;Айден Моффат;None;None;1'21.852;3.547;103.621;None
22;123;Даниэль Ллойд;None;None;1'22.370;4.065;102.970;None
23;4;Sam Osborne;None;None;1'22.655;4.350;102.614;None
24;44;Энди Нити;None;None;1'22.879;4.574;102.337;None
25;62;Рик Парфитт-мл.;None;None;1'23.765;5.460;101.255;None
26;23;Sam Smelt;None;None;1'23.852;5.547;101.150;None
27;88;Глинн Джедди;None;None;1'24.457;6.152;100.425;None
28;96;Jack Butel;None;None;1'25.131;6.826;99.630;None
29;28;Николас Хэмилтон;None;None;1'25.187;6.882;99.564;None
