Позиция;None;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч;Сход;Очки
1;None;None;Джош Кук;None;None;19;29'33.844;None;None;90.84;None;22
2;None;None;Том Ингрэм;None;None;19;29'36.142;2.298;2.298;90.73;None;17
3;None;None;Джейк Хилл;None;None;19;29'38.071;4.227;1.929;90.63;None;15
4;None;None;Дэн Кэммиш;None;None;19;29'43.167;9.323;5.096;90.37;None;13
5;None;None;Рори Батчер;None;None;19;29'45.602;11.758;2.435;90.25;None;11
6;None;None;Джейсон Плейто;None;None;19;29'45.890;12.046;0.288;90.23;None;10
7;None;None;Daniel Rowbottom;None;None;19;29'46.451;12.607;0.561;90.20;None;9
8;None;None;Адам Морган;None;None;19;29'53.456;19.612;7.005;89.85;None;8
9;None;None;Эшли Саттон;None;None;19;29'55.103;21.259;1.647;89.77;None;8
10;None;None;Колин Теркингтон;None;None;19;29'55.669;21.825;0.566;89.74;None;6
11;None;None;Айден Моффат;None;None;19;29'56.604;22.760;0.935;89.69;None;5
12;None;None;Carl Boardley;None;None;19;30'00.235;26.391;3.631;89.51;None;4
13;None;None;Джек Гофф;None;None;19;30'00.564;26.720;0.329;89.50;None;3
14;None;None;Том Чилтон;None;None;19;30'00.982;27.138;0.418;89.47;None;2
15;None;None;Том Олифан;None;None;19;30'01.292;27.448;0.310;89.46;None;1
16;None;None;Даниэль Ллойд;None;None;19;30'01.635;27.791;0.343;89.44;None;None
17;None;None;Sam Osborne;None;None;19;30'03.690;29.846;2.055;89.34;None;None
18;None;None;Арон Смит;None;None;19;30'04.882;31.038;1.192;89.28;None;None
19;None;None;Олли Джексон;None;None;19;30'07.480;33.636;2.598;89.15;None;None
20;None;None;Jade Edwards;None;None;19;30'12.618;38.774;5.138;88.90;None;None
21;None;None;Jack Butel;None;None;19;30'14.859;41.015;2.241;88.79;None;None
22;None;None;Глинн Джедди;None;None;19;30'15.776;41.932;0.917;88.75;None;None
23;None;None;Sam Smelt;None;None;19;30'16.730;42.886;0.954;88.70;None;None
24;None;None;Энди Нити;None;None;19;30'19.389;45.545;2.659;88.57;None;None
25;None;None;Рик Парфитт-мл.;None;None;19;30'19.772;45.928;0.383;88.55;None;None
26;None;None;Николас Хэмилтон;None;None;17;30'24.773;2 Laps;2 Laps;79.01;None;None
None;dnf;None;Стивен Джелли;None;None;10;18'37.094;9 Laps;7 Laps;75.92;Сход;None
None;dnf;None;Гордон Шедден;None;None;0;None;None;None;None;Сход;None
None;dnf;None;Крис Смайли;None;None;0;None;None;None;None;Сход;None
