Номер;Гонщик;None;Команда;Машина;Мотор;Шины
1;Марк Винтерботтом;None;Tickford Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
2;Гарт Тандер;None;Holden Racing Team;Holden Commodore VF;Holden V8-5;Dunlop
3;Андре Хаймгартнер;None;23Red Racing;Holden Commodore VF;Holden V8-5;Dunlop
4;Shae Davies;None;Plus Fitness Racing;Holden Commodore VF;Holden V8-5;Dunlop
6;Кэмерон Уотерс;None;Tickford Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
7;Тодд Келли;None;Nissan Motorsport (Австралия);Nissan Altima L33;Nissan V8-5;Dunlop
8;Джейсон Брайт;None;Team BOC;Holden Commodore VF;Holden V8-5;Dunlop
9;Дэвид Рейнольдс;None;Erebus Motorsport Penrite;Holden Commodore VF;Holden V8-5;Dunlop
12;Фабиан Култхард;None;Team Penske;Ford Falcon FG/X;Ford V8-5;Dunlop
14;Тим Слейд;None;Brad Jones Racing;Holden Commodore VF;Holden V8-5;Dunlop
15;Рик Келли;None;Nissan Motorsport (Австралия);Nissan Altima L33;Nissan V8-5;Dunlop
17;Скотт Пай;None;Team Penske;Ford Falcon FG/X;Ford V8-5;Dunlop
18;Ли Холдсуорт;None;Team 18;Holden Commodore VF;Holden V8-5;Dunlop
19;Уилл Дэвисон;None;Team Darrell Lea STIX;Holden Commodore VF;Holden V8-5;Dunlop
21;Тим Бланкард;None;Team Cooldrive;Holden Commodore VF;Holden V8-5;Dunlop
22;Джеймс Кортни;None;Holden Racing Team;Holden Commodore VF;Holden V8-5;Dunlop
23;Майкл Карузо;None;Nissan Motorsport (Австралия);Nissan Altima L33;Nissan V8-5;Dunlop
33;Скотт Маклафлин;None;Garry Rogers Motorsport;Volvo S60;Volvo V8-5;Dunlop
34;Джеймс Моффат;None;Garry Rogers Motorsport;Volvo S60;Volvo V8-5;Dunlop
55;Час Мостер;None;Tickford Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
88;Джейми Уинкап;None;Red Bull Racing Australia;Holden Commodore VF;Holden V8-5;Dunlop
96;Дейл Вуд;None;GB Galvanizing Racing;Nissan Altima L33;Nissan V8-5;Dunlop
97;Шейн ван Гисберген;None;Red Bull Racing Australia;Holden Commodore VF;Holden V8-5;Dunlop
111;Крис Питер;None;Super Black Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
222;Ник Перкат;None;23Red Racing;Holden Commodore VF;Holden V8-5;Dunlop
888;Крэг Лаундес;None;Team Vortex;Holden Commodore VF;Holden V8-5;Dunlop
