Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;66;1'27.9481;None;None;139.991
2;22;Джеймс Кортни;None;Holden Commodore VF;21;1'28.0110;0.0629;0.0629;139.891
3;7;Тодд Келли;None;Nissan Altima L33;59;1'28.0182;0.0701;0.0072;139.880
4;888;Крэг Лаундес;None;Holden Commodore VF;20;1'28.0245;0.0764;0.0063;139.870
5;88;Джейми Уинкап;None;Holden Commodore VF;61;1'28.0316;0.0835;0.0071;139.858
6;2;Гарт Тандер;None;Holden Commodore VF;29;1'28.0429;0.0948;0.0113;139.840
7;33;Скотт Маклафлин;None;Volvo S60;18;1'28.2296;0.2815;0.1867;139.545
8;9;Дэвид Рейнольдс;None;Holden Commodore VF;16;1'28.2954;0.3473;0.0658;139.441
9;55;Час Мостер;None;Ford Falcon FG/X;12;1'28.3645;0.4164;0.0691;139.331
10;222;Ник Перкат;None;Holden Commodore VF;24;1'28.4414;0.4933;0.0769;139.210
11;15;Рик Келли;None;Nissan Altima L33;19;1'28.5007;0.5526;0.0593;139.117
12;12;Фабиан Култхард;None;Ford Falcon FG/X;29;1'28.5298;0.5817;0.0291;139.071
13;8;Джейсон Брайт;None;Holden Commodore VF;8;1'28.5548;0.6067;0.0250;139.032
14;1;Марк Винтерботтом;None;Ford Falcon FG/X;5;1'28.6849;0.7368;0.1301;138.828
15;19;Уилл Дэвисон;None;Holden Commodore VF;8;1'28.6899;0.7418;0.0050;138.820
16;14;Тим Слейд;None;Holden Commodore VF;47;1'28.6946;0.7465;0.0047;138.813
17;6;Кэмерон Уотерс;None;Ford Falcon FG/X;9;1'28.7279;0.7798;0.0333;138.761
18;18;Ли Холдсуорт;None;Holden Commodore VF;47;1'28.7667;0.8186;0.0388;138.700
19;34;Джеймс Моффат;None;Volvo S60;26;1'28.8747;0.9266;0.1080;138.532
20;23;Майкл Карузо;None;Nissan Altima L33;24;1'28.9444;0.9963;0.0697;138.423
21;96;Дейл Вуд;None;Nissan Altima L33;15;1'28.9526;1.0045;0.0082;138.410
22;17;Скотт Пай;None;Ford Falcon FG/X;43;1'29.0552;1.1071;0.1026;138.251
23;3;Андре Хаймгартнер;None;Holden Commodore VF;6;1'29.0751;1.1270;0.0199;138.220
24;4;Shae Davies;None;Holden Commodore VF;24;1'29.1314;1.1833;0.0563;138.133
25;21;Тим Бланкард;None;Holden Commodore VF;16;1'29.2154;1.2673;0.0840;138.003
