Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;19;1'27.0734;None;None;141.397
2;14;Тим Слейд;None;Holden Commodore VF;17;1'27.0944;0.0210;0.0210;141.363
3;88;Джейми Уинкап;None;Holden Commodore VF;18;1'27.2414;0.1680;0.1470;141.125
4;55;Час Мостер;None;Ford Falcon FG/X;16;1'27.2467;0.1733;0.0053;141.117
5;22;Джеймс Кортни;None;Holden Commodore VF;14;1'27.2583;0.1849;0.0116;141.098
6;33;Скотт Маклафлин;None;Volvo S60;14;1'27.3348;0.2614;0.0765;140.974
7;222;Ник Перкат;None;Holden Commodore VF;15;1'27.4151;0.3417;0.0803;140.845
8;2;Гарт Тандер;None;Holden Commodore VF;14;1'27.4770;0.4036;0.0619;140.745
9;7;Тодд Келли;None;Nissan Altima L33;17;1'27.6239;0.5505;0.1469;140.509
10;6;Кэмерон Уотерс;None;Ford Falcon FG/X;15;1'27.6634;0.5900;0.0395;140.446
11;8;Джейсон Брайт;None;Holden Commodore VF;16;1'27.6692;0.5958;0.0058;140.437
12;888;Крэг Лаундес;None;Holden Commodore VF;18;1'27.7839;0.7105;0.1147;140.253
13;19;Уилл Дэвисон;None;Holden Commodore VF;17;1'27.8687;0.7953;0.0848;140.118
14;15;Рик Келли;None;Nissan Altima L33;15;1'27.8810;0.8076;0.0123;140.098
15;12;Фабиан Култхард;None;Ford Falcon FG/X;16;1'27.9932;0.9198;0.1122;139.919
16;1;Марк Винтерботтом;None;Ford Falcon FG/X;17;1'28.0309;0.9575;0.0377;139.859
17;96;Дейл Вуд;None;Nissan Altima L33;16;1'28.2227;1.1493;0.1918;139.555
18;9;Дэвид Рейнольдс;None;Holden Commodore VF;14;1'28.2292;1.1558;0.0065;139.545
19;18;Ли Холдсуорт;None;Holden Commodore VF;17;1'28.2309;1.1575;0.0017;139.542
20;17;Скотт Пай;None;Ford Falcon FG/X;17;1'28.3045;1.2311;0.0736;139.426
21;34;Джеймс Моффат;None;Volvo S60;15;1'28.3657;1.2923;0.0612;139.330
22;23;Майкл Карузо;None;Nissan Altima L33;4;1'28.7232;1.6498;0.3575;138.768
23;3;Андре Хаймгартнер;None;Holden Commodore VF;19;1'28.9214;1.8480;0.1982;138.459
24;21;Тим Бланкард;None;Holden Commodore VF;16;1'29.0653;1.9919;0.1439;138.235
25;111;Крис Питер;None;Ford Falcon FG/X;1;1'30.3625;3.2891;1.2972;136.251
26;4;Shae Davies;None;Holden Commodore VF;9;1'47.7523;20.6789;17.3898;114.262
