Позиция;#;Гонщик;None;Машина;Время;км/ч
1;2;Гарт Тандер;None;Holden Commodore VF;1'27.1524;141.269
2;97;Шейн ван Гисберген;None;Holden Commodore VF;1'27.1660;141.247
3;22;Джеймс Кортни;None;Holden Commodore VF;1'27.2831;141.058
4;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'27.3672;140.922
5;14;Тим Слейд;None;Holden Commodore VF;1'27.4455;140.796
6;33;Скотт Маклафлин;None;Volvo S60;1'27.4955;140.715
7;23;Майкл Карузо;None;Nissan Altima L33;1'27.7445;140.316
8;222;Ник Перкат;None;Holden Commodore VF;1'28.2551;139.504
9;7;Тодд Келли;None;Nissan Altima L33;1'28.4348;139.221
10;88;Джейми Уинкап;None;Holden Commodore VF;1'31.5703;134.454
11;19;Уилл Дэвисон;None;Holden Commodore VF;1'27.3438;140.960
12;15;Рик Келли;None;Nissan Altima L33;1'27.4185;140.839
13;1;Марк Винтерботтом;None;Ford Falcon FG/X;1'27.4194;140.838
14;888;Крэг Лаундес;None;Holden Commodore VF;1'27.5594;140.613
15;6;Кэмерон Уотерс;None;Ford Falcon FG/X;1'27.5757;140.586
16;8;Джейсон Брайт;None;Holden Commodore VF;1'27.5860;140.570
17;34;Джеймс Моффат;None;Volvo S60;1'27.6434;140.478
18;12;Фабиан Култхард;None;Ford Falcon FG/X;1'27.6510;140.466
19;55;Час Мостер;None;Ford Falcon FG/X;1'27.6717;140.433
20;17;Скотт Пай;None;Ford Falcon FG/X;1'27.8966;140.073
21;21;Тим Бланкард;None;Holden Commodore VF;1'27.9611;139.970
22;18;Ли Холдсуорт;None;Holden Commodore VF;1'28.0768;139.787
23;96;Дейл Вуд;None;Nissan Altima L33;1'28.1640;139.648
24;4;Shae Davies;None;Holden Commodore VF;1'28.2656;139.488
25;3;Андре Хаймгартнер;None;Holden Commodore VF;1'28.3237;139.396
26;111;Крис Питер;None;Ford Falcon FG/X;1'28.3633;139.333
