Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;8;1'26.9518;None;None;141.595
2;9;Дэвид Рейнольдс;None;Holden Commodore VF;9;1'26.9828;0.0310;0.0310;141.545
3;88;Джейми Уинкап;None;Holden Commodore VF;6;1'27.0942;0.1424;0.1114;141.364
4;22;Джеймс Кортни;None;Holden Commodore VF;9;1'27.1828;0.2310;0.0886;141.220
5;33;Скотт Маклафлин;None;Volvo S60;10;1'27.2151;0.2633;0.0323;141.168
6;23;Майкл Карузо;None;Nissan Altima L33;10;1'27.2360;0.2842;0.0209;141.134
7;14;Тим Слейд;None;Holden Commodore VF;9;1'27.2543;0.3025;0.0183;141.104
8;2;Гарт Тандер;None;Holden Commodore VF;8;1'27.2556;0.3038;0.0013;141.102
9;222;Ник Перкат;None;Holden Commodore VF;10;1'27.3101;0.3583;0.0545;141.014
10;7;Тодд Келли;None;Nissan Altima L33;9;1'27.3417;0.3899;0.0316;140.963
11;19;Уилл Дэвисон;None;Holden Commodore VF;10;1'27.3438;0.3920;0.0021;140.960
12;15;Рик Келли;None;Nissan Altima L33;10;1'27.4184;0.4666;0.0746;140.839
13;1;Марк Винтерботтом;None;Ford Falcon FG/X;10;1'27.4194;0.4676;0.0010;140.838
14;888;Крэг Лаундес;None;Holden Commodore VF;10;1'27.5594;0.6076;0.1400;140.613
15;6;Кэмерон Уотерс;None;Ford Falcon FG/X;8;1'27.5757;0.6239;0.0163;140.586
16;8;Джейсон Брайт;None;Holden Commodore VF;9;1'27.5860;0.6342;0.0103;140.570
17;34;Джеймс Моффат;None;Volvo S60;10;1'27.6434;0.6916;0.0574;140.478
18;12;Фабиан Култхард;None;Ford Falcon FG/X;9;1'27.6510;0.6992;0.0076;140.466
19;55;Час Мостер;None;Ford Falcon FG/X;9;1'27.6717;0.7199;0.0207;140.433
20;17;Скотт Пай;None;Ford Falcon FG/X;9;1'27.8966;0.9448;0.2249;140.073
21;21;Тим Бланкард;None;Holden Commodore VF;8;1'27.9611;1.0093;0.0645;139.970
22;18;Ли Холдсуорт;None;Holden Commodore VF;9;1'28.0768;1.1250;0.1157;139.787
23;96;Дейл Вуд;None;Nissan Altima L33;9;1'28.1640;1.2122;0.0872;139.648
24;4;Shae Davies;None;Holden Commodore VF;10;1'28.2656;1.3138;0.1016;139.488
25;3;Андре Хаймгартнер;None;Holden Commodore VF;10;1'28.3237;1.3719;0.0581;139.396
26;111;Крис Питер;None;Ford Falcon FG/X;8;1'28.3633;1.4115;0.0396;139.333
