Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;88;Джейми Уинкап;None;Holden Commodore VF;74;1:55'51.3312;None;None;None;150
2;None;2;Гарт Тандер;None;Holden Commodore VF;74;1:55'58.1706;6.8394;6.8394;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore VF;74;1:56'01.1655;9.8343;2.9949;None;129
4;None;33;Скотт Маклафлин;None;Volvo S60;74;1:56'01.7213;10.3901;0.5558;None;120
5;None;22;Джеймс Кортни;None;Holden Commodore VF;74;1:56'02.1660;10.8348;0.4447;None;111
6;None;15;Рик Келли;None;Nissan Altima L33;74;1:56'08.6952;17.3640;6.5292;None;102
7;None;19;Уилл Дэвисон;None;Holden Commodore VF;74;1:56'09.2879;17.9567;0.5927;None;96
8;None;888;Крэг Лаундес;None;Holden Commodore VF;74;1:56'14.6480;23.3168;5.3601;None;90
9;None;14;Тим Слейд;None;Holden Commodore VF;74;1:56'16.3648;25.0336;1.7168;None;84
10;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;74;1:56'17.9295;26.5983;1.5647;None;78
11;None;12;Фабиан Култхард;None;Ford Falcon FG/X;74;1:56'19.2174;27.8862;1.2879;None;72
12;None;7;Тодд Келли;None;Nissan Altima L33;74;1:56'22.9171;31.5859;3.6997;None;69
13;None;23;Майкл Карузо;None;Nissan Altima L33;74;1:56'24.1180;32.7868;1.2009;None;66
14;None;17;Скотт Пай;None;Ford Falcon FG/X;74;1:56'25.2267;33.8955;1.1087;None;63
15;None;222;Ник Перкат;None;Holden Commodore VF;74;1:56'25.9922;34.6610;0.7655;None;60
16;None;18;Ли Холдсуорт;None;Holden Commodore VF;74;1:56'27.4555;36.1243;1.4633;None;57
17;None;55;Час Мостер;None;Ford Falcon FG/X;74;1:56'28.3505;37.0193;0.8950;None;54
18;None;8;Джейсон Брайт;None;Holden Commodore VF;74;1:56'29.3656;38.0344;1.0151;None;51
19;None;21;Тим Бланкард;None;Holden Commodore VF;74;1:56'30.7919;39.4607;1.4263;None;48
20;None;3;Андре Хаймгартнер;None;Holden Commodore VF;74;1:56'31.5793;40.2481;0.7874;None;45
21;None;6;Кэмерон Уотерс;None;Ford Falcon FG/X;74;1:56'37.5258;46.1946;5.9465;None;42
22;None;4;Shae Davies;None;Holden Commodore VF;71;1:57'20.1337;3 Laps;3 Laps;None;39
23;None;1;Марк Винтерботтом;None;Ford Falcon FG/X;69;1:57'06.7238;5 Laps;2 Laps;None;36
24;None;34;Джеймс Моффат;None;Volvo S60;65;1:56'49.2223;9 Laps;4 Laps;None;33
None;None;96;Дейл Вуд;None;Nissan Altima L33;48;1:13'51.3285;26 Laps;17 Laps;Сход;None
None;None;111;Крис Питер;None;Ford Falcon FG/X;1;2'20.6409;73 Laps;47 Laps;Сход;None
