Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;2;Гарт Тандер;None;Holden Commodore VF;1;1'27.1524;None;None;141.269
2;97;Шейн ван Гисберген;None;Holden Commodore VF;1;1'27.1660;0.0136;0.0136;141.247
3;22;Джеймс Кортни;None;Holden Commodore VF;1;1'27.2831;0.1307;0.1171;141.058
4;9;Дэвид Рейнольдс;None;Holden Commodore VF;1;1'27.3672;0.2148;0.0841;140.922
5;14;Тим Слейд;None;Holden Commodore VF;1;1'27.4455;0.2931;0.0783;140.796
6;33;Скотт Маклафлин;None;Volvo S60;1;1'27.4955;0.3431;0.0500;140.715
7;23;Майкл Карузо;None;Nissan Altima L33;1;1'27.7445;0.5921;0.2490;140.316
8;222;Ник Перкат;None;Holden Commodore VF;1;1'28.2551;1.1027;0.5106;139.504
9;7;Тодд Келли;None;Nissan Altima L33;1;1'28.4348;1.2824;0.1797;139.221
10;88;Джейми Уинкап;None;Holden Commodore VF;1;1'31.5703;4.4179;3.1355;134.454
