Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;88;Джейми Уинкап;None;Holden Commodore VF;39;56'43.1446;None;None;None;75
2;None;22;Джеймс Кортни;None;Holden Commodore VF;39;56'47.0713;3.9267;3.9267;None;69
3;None;97;Шейн ван Гисберген;None;Holden Commodore VF;39;56'50.7197;7.5751;3.6484;None;64
4;None;33;Скотт Маклафлин;None;Volvo S60;39;56'51.6100;8.4654;0.8903;None;60
5;None;2;Гарт Тандер;None;Holden Commodore VF;39;56'54.2058;11.0612;2.5958;None;55
6;None;7;Тодд Келли;None;Nissan Altima L33;39;56'57.6970;14.5524;3.4912;None;51
7;None;888;Крэг Лаундес;None;Holden Commodore VF;39;57'01.2462;18.1016;3.5492;None;48
8;None;1;Марк Винтерботтом;None;Ford Falcon FG/X;39;57'01.9722;18.8276;0.7260;None;45
9;None;15;Рик Келли;None;Nissan Altima L33;39;57'02.5068;19.3622;0.5346;None;42
10;None;12;Фабиан Култхард;None;Ford Falcon FG/X;39;57'04.1995;21.0549;1.6927;None;39
11;None;19;Уилл Дэвисон;None;Holden Commodore VF;39;57'04.5536;21.4090;0.3541;None;36
12;None;17;Скотт Пай;None;Ford Falcon FG/X;39;57'05.9504;22.8058;1.3968;None;34
13;None;23;Майкл Карузо;None;Nissan Altima L33;39;57'12.3123;29.1677;6.3619;None;33
14;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;39;57'13.1884;30.0438;0.8761;None;31
15;None;6;Кэмерон Уотерс;None;Ford Falcon FG/X;39;57'13.7420;30.5974;0.5536;None;30
16;None;55;Час Мостер;None;Ford Falcon FG/X;39;57'16.9663;33.8217;3.2243;None;28
17;None;34;Джеймс Моффат;None;Volvo S60;39;57'17.5598;34.4152;0.5935;None;27
18;None;111;Крис Питер;None;Ford Falcon FG/X;39;57'19.0826;35.9380;1.5228;None;25
19;None;8;Джейсон Брайт;None;Holden Commodore VF;39;57'22.2953;39.1507;3.2127;None;24
20;None;96;Дейл Вуд;None;Nissan Altima L33;39;57'23.1813;40.0367;0.8860;None;22
21;None;222;Ник Перкат;None;Holden Commodore VF;39;57'23.4281;40.2835;0.2468;None;21
22;None;3;Андре Хаймгартнер;None;Holden Commodore VF;39;57'25.1743;42.0297;1.7462;None;19
23;None;18;Ли Холдсуорт;None;Holden Commodore VF;39;57'27.5181;44.3735;2.3438;None;18
24;None;21;Тим Бланкард;None;Holden Commodore VF;39;57'30.1190;46.9744;2.6009;None;16
25;None;4;Аарен Рассел;None;Holden Commodore VF;39;57'33.7575;50.6129;3.6385;None;15
None;None;14;Тим Слейд;None;Holden Commodore VF;12;17'10.6936;27 Laps;27 Laps;Сход;None
