Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;1;2'05.4263;None;None;178.326
2;33;Скотт Маклафлин Дэвид Уолл;None;Volvo S60;1;2'05.4915;0.0652;0.0652;178.233
3;55;Час Мостер Steven Owen;None;Ford Falcon FG/X;1;2'05.5267;0.1004;0.0352;178.183
4;12;Фабиан Култхард Люк Юлден;None;Ford Falcon FG/X;1;2'05.6726;0.2463;0.1459;177.976
5;14;Тим Слейд Эш Уолш;None;Holden Commodore VF;1;2'05.8568;0.4305;0.1842;177.716
6;23;Майкл Карузо Дин Фьоре;None;Nissan Altima L33;1;2'05.9167;0.4904;0.0599;177.631
7;97;Шейн ван Гисберген Александр Према;None;Holden Commodore VF;1;2'06.2550;0.8287;0.3383;177.155
8;2;Гарт Тандер Уоррен Лафф;None;Holden Commodore VF;1;2'06.5538;1.1275;0.2988;176.737
9;17;Скотт Пай Тони Д'Альберто;None;Ford Falcon FG/X;1;2'06.5557;1.1294;0.0019;176.734
10;1;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG/X;1;2'08.2615;2.8352;1.7058;174.384
