Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;1'19.7545;145.346
2;12;Фабиан Култхард;None;Ford Falcon FG-X;1'19.7816;145.296
3;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'19.8851;145.108
4;55;Час Мостер;None;Ford Falcon FG-X;1'20.2236;144.496
5;22;Джеймс Кортни;None;Holden Commodore VF;1'20.2574;144.435
6;8;Ник Перкат;None;Holden Commodore VF;1'20.4137;144.154
7;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'20.7390;143.573
8;33;Гарт Тандер;None;Holden Commodore VF;1'20.7518;143.550
9;14;Тим Слейд;None;Holden Commodore VF;1'52.9760;102.605
10;88;Джейми Уинкап;None;Holden Commodore VF;1'19.3335;146.117
11;2;Скотт Пай;None;Holden Commodore VF;1'19.8784;145.120
12;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'19.9039;145.074
13;23;Майкл Карузо;None;Nissan Altima;1'19.9154;145.053
14;34;Джеймс Моффат;None;Holden Commodore VF;1'19.9162;145.051
15;888;Крэг Лаундес;None;Holden Commodore VF;1'19.9174;145.049
16;7;Тодд Келли;None;Nissan Altima;1'19.9181;145.048
17;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'19.9832;144.930
18;56;Джейсон Брайт;None;Ford Falcon FG-X;1'19.9993;144.901
19;15;Рик Келли;None;Nissan Altima;1'20.0261;144.852
20;19;Уилл Дэвисон;None;Holden Commodore VF;1'20.1834;144.568
21;99;Дейл Вуд;None;Holden Commodore VF;1'20.3248;144.314
22;18;Ли Холдсуорт;None;Holden Commodore VF;1'20.4048;144.170
23;21;Тим Бланкард;None;Holden Commodore VF;1'20.5835;143.850
24;3;Таз Дуглас;None;Holden Commodore VF;1'20.9970;143.116
25;78;Симона де Сильвестро;None;Nissan Altima;1'21.2249;142.714
26;62;Алекс Рулло;None;Holden Commodore VF;1'21.8345;141.651
