Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;1;1'19.5723;None;None;145.678
2;12;Фабиан Култхард;None;Ford Falcon FG-X;1;1'19.6165;0.0442;0.0442;145.597
3;55;Час Мостер;None;Ford Falcon FG-X;1;1'19.8687;0.2964;0.2522;145.138
4;22;Джеймс Кортни;None;Holden Commodore VF;1;1'19.9932;0.4209;0.1245;144.912
5;5;Марк Винтерботтом;None;Ford Falcon FG-X;1;1'20.0176;0.4453;0.0244;144.868
6;17;Скотт Маклафлин;None;Ford Falcon FG-X;1;1'20.0574;0.4851;0.0398;144.796
7;88;Джейми Уинкап;None;Holden Commodore VF;1;1'20.1604;0.5881;0.1030;144.610
8;15;Рик Келли;None;Nissan Altima;1;1'20.3544;0.7821;0.1940;144.260
9;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1;1'20.3785;0.8062;0.0241;144.217
10;9;Дэвид Рейнольдс;None;Holden Commodore VF;1;1'20.4829;0.9106;0.1044;144.030
