Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;17;2'06.3269;None;None;177.054
2;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;17;2'06.7668;0.4399;0.4399;176.440
3;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;22;2'06.7830;0.4561;0.0162;176.417
4;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;17;2'06.9971;0.6702;0.2141;176.120
5;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;21;2'07.2322;0.9053;0.2351;175.795
6;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;16;2'07.3126;0.9857;0.0804;175.684
7;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;17;2'07.3404;1.0135;0.0278;175.645
8;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;20;2'07.3617;1.0348;0.0213;175.616
9;99;Дейл Вуд Крис Питер;None;Holden Commodore VF;17;2'07.4537;1.1268;0.0920;175.489
10;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;15;2'07.4807;1.1538;0.0270;175.452
11;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;17;2'07.5694;1.2425;0.0887;175.330
12;20;Тодд Келли Джек ЛеБрок;None;Nissan Altima;21;2'07.6936;1.3667;0.1242;175.159
13;2;Скотт Пай Уоррен Лафф;None;Holden Commodore VF;16;2'07.7072;1.3803;0.0136;175.141
14;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;20;2'07.7142;1.3873;0.0070;175.131
15;21;Тим Бланкард Тодд Хазелвуд;None;Holden Commodore VF;17;2'07.7163;1.3894;0.0021;175.128
16;78;Симона де Сильвестро Дэвид Расселл;None;Nissan Altima;20;2'07.7289;1.4020;0.0126;175.111
17;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;20;2'07.9771;1.6502;0.2482;174.771
18;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;13;2'08.2637;1.9368;0.2866;174.381
19;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;16;2'08.4664;2.1395;0.2027;174.106
20;15;Рик Келли Дэвид Уолл;None;Nissan Altima;19;2'08.5496;2.2227;0.0832;173.993
21;8;Ник Перкат Маколи Джонс;None;Holden Commodore VF;14;2'08.5784;2.2515;0.0288;173.954
22;3;Аарен Рассел Таз Дуглас;None;Holden Commodore VF;17;2'08.5829;2.2560;0.0045;173.948
23;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;19;2'08.6662;2.3393;0.0833;173.835
24;34;Джеймс Моффат Ричард Маскат;None;Holden Commodore VF;5;2'09.8924;3.5655;1.2262;172.194
