Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;34;Джеймс Моффат;None;Holden Commodore VF;13;1'06.9824;None;None;154.249
2;12;Фабиан Култхард;None;Ford Falcon FG-X;7;1'07.0054;0.0230;0.0230;154.196
3;17;Скотт Маклафлин;None;Ford Falcon FG-X;9;1'07.0825;0.1001;0.0771;154.019
4;14;Тим Слейд;None;Holden Commodore VF;9;1'07.0982;0.1158;0.0157;153.983
5;8;Ник Перкат;None;Holden Commodore VF;7;1'07.1634;0.1810;0.0652;153.833
6;2;Скотт Пай;None;Holden Commodore VF;26;1'07.2290;0.2466;0.0656;153.683
7;88;Джейми Уинкап;None;Holden Commodore VF;15;1'07.2935;0.3111;0.0645;153.536
8;888;Крэг Лаундес;None;Holden Commodore VF;13;1'07.3448;0.3624;0.0513;153.419
9;22;Джеймс Кортни;None;Holden Commodore VF;29;1'07.3541;0.3717;0.0093;153.398
10;18;Ли Холдсуорт;None;Holden Commodore VF;9;1'07.3837;0.4013;0.0296;153.330
11;9;Дэвид Рейнольдс;None;Holden Commodore VF;27;1'07.4927;0.5103;0.1090;153.083
12;6;Кэмерон Уотерс;None;Ford Falcon FG-X;13;1'07.5774;0.5950;0.0847;152.891
13;21;Тим Бланкард;None;Holden Commodore VF;13;1'07.5948;0.6124;0.0174;152.851
14;15;Рик Келли;None;Nissan Altima;6;1'07.6013;0.6189;0.0065;152.837
15;99;Дейл Вуд;None;Holden Commodore VF;27;1'07.6302;0.6478;0.0289;152.771
16;97;Шейн ван Гисберген;None;Holden Commodore VF;6;1'07.6416;0.6592;0.0114;152.746
17;55;Час Мостер;None;Ford Falcon FG-X;27;1'07.6522;0.6698;0.0106;152.722
18;5;Марк Винтерботтом;None;Ford Falcon FG-X;27;1'07.7433;0.7609;0.0911;152.516
19;23;Майкл Карузо;None;Nissan Altima;27;1'07.7478;0.7654;0.0045;152.506
20;56;Джейсон Брайт;None;Ford Falcon FG-X;6;1'07.7633;0.7809;0.0155;152.471
21;3;Кэмерон Макконвиль;None;Holden Commodore VF;15;1'07.7861;0.8037;0.0228;152.420
22;7;Тодд Келли;None;Nissan Altima;28;1'07.7884;0.8060;0.0023;152.415
23;19;Уилл Дэвисон;None;Holden Commodore VF;7;1'07.8136;0.8312;0.0252;152.358
24;4;Маколи Джонс;None;Holden Commodore VF;15;1'07.8140;0.8316;0.0004;152.357
25;62;Алекс Рулло;None;Holden Commodore VF;26;1'07.8192;0.8368;0.0052;152.346
26;28;Джек ЛеБрок;None;Nissan Altima;26;1'07.8353;0.8529;0.0161;152.310
27;78;Симона де Сильвестро;None;Nissan Altima;13;1'07.8817;0.8993;0.0464;152.205
28;33;Гарт Тандер;None;Holden Commodore VF;9;1'07.9679;0.9855;0.0862;152.012
