Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;15;Рик Келли;None;Nissan Altima;19;1'06.5061;None;None;155.354
2;888;Крэг Лаундес;None;Holden Commodore VF;37;1'06.5677;0.0616;0.0616;155.210
3;97;Шейн ван Гисберген;None;Holden Commodore VF;24;1'06.6065;0.1004;0.0388;155.119
4;88;Джейми Уинкап;None;Holden Commodore VF;18;1'06.6141;0.1080;0.0076;155.102
5;55;Час Мостер;None;Ford Falcon FG-X;21;1'06.7543;0.2482;0.1402;154.776
6;18;Ли Холдсуорт;None;Holden Commodore VF;21;1'06.7671;0.2610;0.0128;154.746
7;12;Фабиан Култхард;None;Ford Falcon FG-X;21;1'06.7711;0.2650;0.0040;154.737
8;33;Гарт Тандер;None;Holden Commodore VF;24;1'06.7744;0.2683;0.0033;154.729
9;9;Дэвид Рейнольдс;None;Holden Commodore VF;16;1'06.8110;0.3049;0.0366;154.645
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;18;1'06.8396;0.3335;0.0286;154.579
11;19;Уилл Дэвисон;None;Holden Commodore VF;23;1'06.8631;0.3570;0.0235;154.524
12;5;Марк Винтерботтом;None;Ford Falcon FG-X;19;1'06.9084;0.4023;0.0453;154.420
13;14;Тим Слейд;None;Holden Commodore VF;26;1'06.9500;0.4439;0.0416;154.324
14;17;Скотт Маклафлин;None;Ford Falcon FG-X;26;1'07.0024;0.4963;0.0524;154.203
15;8;Ник Перкат;None;Holden Commodore VF;20;1'07.0353;0.5292;0.0329;154.127
16;23;Майкл Карузо;None;Nissan Altima;17;1'07.0732;0.5671;0.0379;154.040
17;34;Джеймс Моффат;None;Holden Commodore VF;19;1'07.1296;0.6235;0.0564;153.911
18;56;Джейсон Брайт;None;Ford Falcon FG-X;17;1'07.1669;0.6608;0.0373;153.825
19;3;Кэмерон Макконвиль;None;Holden Commodore VF;22;1'07.2227;0.7166;0.0558;153.698
20;7;Тодд Келли;None;Nissan Altima;21;1'07.2421;0.7360;0.0194;153.653
21;99;Дейл Вуд;None;Holden Commodore VF;19;1'07.2458;0.7397;0.0037;153.645
22;4;Маколи Джонс;None;Holden Commodore VF;21;1'07.3621;0.8560;0.1163;153.380
23;21;Тим Бланкард;None;Holden Commodore VF;20;1'07.3920;0.8859;0.0299;153.311
24;22;Джеймс Кортни;None;Holden Commodore VF;20;1'07.4512;0.9451;0.0592;153.177
25;2;Скотт Пай;None;Holden Commodore VF;19;1'07.4580;0.9519;0.0068;153.161
26;28;Джек ЛеБрок;None;None;24;1'07.7251;1.2190;0.2671;152.557
27;62;Алекс Рулло;None;Holden Commodore VF;24;1'07.7512;1.2451;0.0261;152.499
28;78;Симона де Сильвестро;None;Nissan Altima;21;1'07.8917;1.3856;0.1405;152.183
