Позиция;#;Гонщик;None;Машина;Время;км/ч
1;15;Рик Келли;None;Nissan Altima;1'05.7114;157.232
2;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'05.7705;157.091
3;12;Фабиан Култхард;None;Ford Falcon FG-X;1'05.7755;157.079
4;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'05.8713;156.851
5;97;Шейн ван Гисберген;None;Holden Commodore VF;1'05.9527;156.657
6;8;Ник Перкат;None;Holden Commodore VF;1'05.9556;156.650
7;55;Час Мостер;None;Ford Falcon FG-X;1'06.0091;156.523
8;14;Тим Слейд;None;Holden Commodore VF;1'06.0394;156.452
9;88;Джейми Уинкап;None;Holden Commodore VF;1'06.0464;156.435
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'06.0468;156.434
11;18;Ли Холдсуорт;None;Holden Commodore VF;1'06.0651;156.391
12;7;Тодд Келли;None;Nissan Altima;1'06.1234;156.253
13;34;Джеймс Моффат;None;Holden Commodore VF;1'06.1354;156.224
14;21;Тим Бланкард;None;Holden Commodore VF;1'06.1452;156.201
15;19;Уилл Дэвисон;None;Holden Commodore VF;1'06.1932;156.088
16;99;Дейл Вуд;None;Holden Commodore VF;1'06.2337;155.993
17;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'06.2825;155.878
18;888;Крэг Лаундес;None;Holden Commodore VF;1'06.3068;155.821
19;56;Джейсон Брайт;None;Ford Falcon FG-X;1'06.3453;155.730
20;33;Гарт Тандер;None;Holden Commodore VF;1'06.2870;155.867
21;22;Джеймс Кортни;None;Holden Commodore VF;1'06.3523;155.714
22;23;Майкл Карузо;None;Nissan Altima;1'06.4175;155.561
23;2;Скотт Пай;None;Holden Commodore VF;1'06.4281;155.536
24;28;Джек ЛеБрок;None;Nissan Altima;1'06.4875;155.397
25;78;Симона де Сильвестро;None;Nissan Altima;1'06.5093;155.346
26;4;Маколи Джонс;None;Holden Commodore VF;1'06.7082;154.883
27;62;Алекс Рулло;None;Holden Commodore VF;1'06.8440;154.568
28;3;Кэмерон Макконвиль;None;Holden Commodore VF;1'06.9881;154.236
