Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;8;1'05.6806;None;None;157.306
2;12;Фабиан Култхард;None;Ford Falcon FG-X;9;1'05.8231;0.1425;0.1425;156.966
3;88;Джейми Уинкап;None;Holden Commodore VF;8;1'05.8269;0.1463;0.0038;156.957
4;9;Дэвид Рейнольдс;None;Holden Commodore VF;10;1'05.8711;0.1905;0.0442;156.851
5;34;Джеймс Моффат;None;Holden Commodore VF;10;1'05.8856;0.2050;0.0145;156.817
6;97;Шейн ван Гисберген;None;Holden Commodore VF;8;1'05.9050;0.2244;0.0194;156.771
7;18;Ли Холдсуорт;None;Holden Commodore VF;11;1'05.9223;0.2417;0.0173;156.729
8;888;Крэг Лаундес;None;Holden Commodore VF;8;1'05.9923;0.3117;0.0700;156.563
9;6;Кэмерон Уотерс;None;Ford Falcon FG-X;6;1'06.0092;0.3286;0.0169;156.523
10;8;Ник Перкат;None;Holden Commodore VF;10;1'06.0264;0.3458;0.0172;156.482
11;14;Тим Слейд;None;Holden Commodore VF;8;1'06.0266;0.3460;0.0002;156.482
12;15;Рик Келли;None;Nissan Altima;10;1'06.0964;0.4158;0.0698;156.317
13;55;Час Мостер;None;Ford Falcon FG-X;9;1'06.1005;0.4199;0.0041;156.307
14;7;Тодд Келли;None;Nissan Altima;11;1'06.1025;0.4219;0.0020;156.302
15;23;Майкл Карузо;None;Nissan Altima;11;1'06.1039;0.4233;0.0014;156.299
16;2;Скотт Пай;None;Holden Commodore VF;9;1'06.1716;0.4910;0.0677;156.139
17;56;Джейсон Брайт;None;Ford Falcon FG-X;9;1'06.1914;0.5108;0.0198;156.092
18;19;Уилл Дэвисон;None;Holden Commodore VF;11;1'06.2002;0.5196;0.0088;156.072
19;33;Гарт Тандер;None;Holden Commodore VF;12;1'06.2423;0.5617;0.0421;155.972
20;5;Марк Винтерботтом;None;Ford Falcon FG-X;10;1'06.3022;0.6216;0.0599;155.831
21;28;Джек ЛеБрок;None;Nissan Altima;10;1'06.3270;0.6464;0.0248;155.773
22;22;Джеймс Кортни;None;Holden Commodore VF;9;1'06.3279;0.6473;0.0009;155.771
23;21;Тим Бланкард;None;Holden Commodore VF;9;1'06.4279;0.7473;0.1000;155.537
24;78;Симона де Сильвестро;None;Nissan Altima;11;1'06.4635;0.7829;0.0356;155.453
25;99;Дейл Вуд;None;Holden Commodore VF;9;1'06.5157;0.8351;0.0522;155.331
26;4;Маколи Джонс;None;Holden Commodore VF;9;1'06.7812;1.1006;0.2655;154.714
27;62;Алекс Рулло;None;Holden Commodore VF;9;1'06.8483;1.1677;0.0671;154.558
28;3;Кэмерон Макконвиль;None;Holden Commodore VF;7;1'07.0771;1.3965;0.2288;154.031
