Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;70;1:21'04.2732;None;None;None;150
2;None;88;Джейми Уинкап;None;Holden Commodore VF;70;1:21'06.5550;2.2818;2.2818;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore VF;70;1:21'28.1175;23.8443;21.5625;None;129
4;None;12;Фабиан Култхард;None;Ford Falcon FG-X;70;1:21'29.2617;24.9885;1.1442;None;120
5;None;14;Тим Слейд;None;Holden Commodore VF;70;1:21'29.5115;25.2383;0.2498;None;111
6;None;888;Крэг Лаундес;None;Holden Commodore VF;70;1:21'30.0864;25.8132;0.5749;None;102
7;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;70;1:21'31.5203;27.2471;1.4339;None;96
8;None;2;Скотт Пай;None;Holden Commodore VF;70;1:21'32.5931;28.3199;1.0728;None;90
9;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;70;1:21'36.0426;31.7694;3.4495;None;84
10;None;15;Рик Келли;None;Nissan Altima;70;1:21'38.1976;33.9244;2.1550;None;78
11;None;19;Уилл Дэвисон;None;Holden Commodore VF;70;1:21'39.4840;35.2108;1.2864;None;72
12;None;18;Ли Холдсуорт;None;Holden Commodore VF;70;1:21'40.8477;36.5745;1.3637;None;69
13;None;56;Джейсон Брайт;None;Ford Falcon FG-X;70;1:21'43.3337;39.0605;2.4860;None;66
14;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;70;1:21'43.9293;39.6561;0.5956;None;63
15;None;8;Ник Перкат;None;Holden Commodore VF;70;1:21'44.3921;40.1189;0.4628;None;60
16;None;33;Гарт Тандер;None;Holden Commodore VF;70;1:21'50.6396;46.3664;6.2475;None;57
17;None;55;Час Мостер;None;Ford Falcon FG-X;70;1:21'52.0325;47.7593;1.3929;None;54
18;None;22;Джеймс Кортни;None;Holden Commodore VF;70;1:21'56.0918;51.8186;4.0593;None;51
19;None;23;Майкл Карузо;None;Nissan Altima;70;1:21'58.1039;53.8307;2.0121;None;48
20;None;7;Тодд Келли;None;Nissan Altima;70;1:21'58.5501;54.2769;0.4462;None;45
21;None;21;Тим Бланкард;None;Holden Commodore VF;70;1:21'58.8953;54.6221;0.3452;None;42
22;None;28;Джек ЛеБрок;None;Nissan Altima;70;1:22'02.3894;58.1162;3.4941;None;39
23;None;62;Алекс Рулло;None;Holden Commodore VF;70;1:22'10.8067;1'06.5335;8.4173;None;36
24;None;4;Маколи Джонс;None;Holden Commodore VF;69;1:21'07.9494;1 Lap;1 Lap;None;33
25;None;34;Джеймс Моффат;None;Holden Commodore VF;69;1:21'14.3253;1 Lap;6.3759;None;30
26;None;3;Кэмерон Макконвиль;None;Holden Commodore VF;69;1:21'20.2681;1 Lap;5.9428;None;27
27;None;99;Дейл Вуд;None;Holden Commodore VF;69;1:21'22.1746;1 Lap;1.9065;None;24
28;None;78;Симона де Сильвестро;None;Nissan Altima;69;1:21'27.1837;1 Lap;5.0091;None;21
