Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1;1'05.7233;None;None;157.204
2;88;Джейми Уинкап;None;Holden Commodore VF;1;1'06.0562;0.3329;0.3329;156.412
3;34;Джеймс Моффат;None;Holden Commodore VF;1;1'06.1855;0.4622;0.1293;156.106
4;12;Фабиан Култхард;None;Ford Falcon FG-X;1;1'06.2302;0.5069;0.0447;156.001
5;97;Шейн ван Гисберген;None;Holden Commodore VF;1;1'06.2350;0.5117;0.0048;155.990
6;18;Ли Холдсуорт;None;Holden Commodore VF;1;1'06.5436;0.8203;0.3086;155.266
7;9;Дэвид Рейнольдс;None;Holden Commodore VF;1;1'06.5792;0.8559;0.0356;155.183
8;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1;1'06.5867;0.8634;0.0075;155.166
9;888;Крэг Лаундес;None;Holden Commodore VF;1;1'06.7873;1.0640;0.2006;154.700
10;8;Ник Перкат;None;Holden Commodore VF;1;1'06.8741;1.1508;0.0868;154.499
