Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;13;1'09.8167;None;None;160.878
2;14;Тим Слейд;None;Holden Commodore VF;19;1'09.9293;0.1126;0.1126;160.619
3;12;Фабиан Култхард;None;Ford Falcon FG-X;42;1'09.9478;0.1311;0.0185;160.576
4;55;Час Мостер;None;Ford Falcon FG-X;3;1'09.9721;0.1554;0.0243;160.521
5;88;Джейми Уинкап;None;Holden Commodore VF;2;1'09.9875;0.1708;0.0154;160.485
6;22;Джеймс Кортни;None;Holden Commodore VF;14;1'10.0025;0.1858;0.0150;160.451
7;97;Шейн ван Гисберген;None;Holden Commodore VF;24;1'10.0965;0.2798;0.0940;160.236
8;7;Тодд Келли;None;Nissan Altima;24;1'10.1043;0.2876;0.0078;160.218
9;888;Крэг Лаундес;None;Holden Commodore VF;24;1'10.1135;0.2968;0.0092;160.197
10;33;Гарт Тандер;None;Holden Commodore VF;37;1'10.1545;0.3378;0.0410;160.103
11;5;Марк Винтерботтом;None;Ford Falcon FG-X;2;1'10.2194;0.4027;0.0649;159.955
12;34;Джеймс Моффат;None;Holden Commodore VF;44;1'10.2400;0.4233;0.0206;159.908
13;6;Кэмерон Уотерс;None;Ford Falcon FG-X;45;1'10.3135;0.4968;0.0735;159.741
14;2;Скотт Пай;None;Holden Commodore VF;21;1'10.3179;0.5012;0.0044;159.731
15;9;Дэвид Рейнольдс;None;Holden Commodore VF;46;1'10.3251;0.5084;0.0072;159.715
16;21;Тим Бланкард;None;Holden Commodore VF;20;1'10.3328;0.5161;0.0077;159.697
17;8;Ник Перкат;None;Holden Commodore VF;15;1'10.3460;0.5293;0.0132;159.667
18;18;Ли Холдсуорт;None;Holden Commodore VF;17;1'10.3502;0.5335;0.0042;159.658
19;15;Рик Келли;None;Nissan Altima;19;1'10.3569;0.5402;0.0067;159.643
20;19;Уилл Дэвисон;None;Holden Commodore VF;3;1'10.3933;0.5766;0.0364;159.560
21;36;Тодд Хазелвуд;None;Holden Commodore VF;20;1'10.4141;0.5974;0.0208;159.513
22;56;Джейсон Брайт;None;Ford Falcon FG-X;3;1'10.4371;0.6204;0.0230;159.461
23;28;Джек ЛеБрок;None;Nissan Altima;13;1'10.4375;0.6208;0.0004;159.460
24;99;Дейл Вуд;None;Holden Commodore VF;9;1'10.5243;0.7076;0.0868;159.264
25;26;Shae Davies;None;Nissan Altima;22;1'10.5425;0.7258;0.0182;159.223
26;31;Джеймс Голдинг;None;Holden Commodore VF;44;1'10.5600;0.7433;0.0175;159.183
27;78;Симона де Сильвестро;None;Nissan Altima;20;1'10.5909;0.7742;0.0309;159.113
28;23;Майкл Карузо;None;Nissan Altima;23;1'10.8881;1.0714;0.2972;158.446
29;62;Алекс Рулло;None;Holden Commodore VF;20;1'11.0141;1.1974;0.1260;158.165
30;3;Алекс Дэвисон;None;Holden Commodore VF;21;1'11.1422;1.3255;0.1281;157.880
