Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;15;1'09.5759;None;None;161.435
2;14;Тим Слейд;None;Holden Commodore VF;22;1'09.6246;0.0487;0.0487;161.322
3;9;Дэвид Рейнольдс;None;Holden Commodore VF;17;1'09.7296;0.1537;0.1050;161.079
4;12;Фабиан Култхард;None;Ford Falcon FG-X;17;1'09.7508;0.1749;0.0212;161.030
5;97;Шейн ван Гисберген;None;Holden Commodore VF;22;1'09.8160;0.2401;0.0652;160.880
6;15;Рик Келли;None;Nissan Altima;18;1'09.8268;0.2509;0.0108;160.855
7;55;Час Мостер;None;Ford Falcon FG-X;19;1'09.8298;0.2539;0.0030;160.848
8;19;Уилл Дэвисон;None;Holden Commodore VF;14;1'09.8651;0.2892;0.0353;160.766
9;23;Майкл Карузо;None;Nissan Altima;21;1'09.8790;0.3031;0.0139;160.734
10;8;Ник Перкат;None;Holden Commodore VF;18;1'09.8981;0.3222;0.0191;160.691
11;6;Кэмерон Уотерс;None;Ford Falcon FG-X;18;1'09.9109;0.3350;0.0128;160.661
12;88;Джейми Уинкап;None;Holden Commodore VF;21;1'09.9378;0.3619;0.0269;160.599
13;99;Дейл Вуд;None;Holden Commodore VF;19;1'09.9825;0.4066;0.0447;160.497
14;18;Ли Холдсуорт;None;Holden Commodore VF;20;1'09.9931;0.4172;0.0106;160.472
15;28;Джек ЛеБрок;None;Nissan Altima;23;1'10.0611;0.4852;0.0680;160.317
16;22;Джеймс Кортни;None;Holden Commodore VF;15;1'10.0712;0.4953;0.0101;160.294
17;7;Тодд Келли;None;Nissan Altima;20;1'10.0721;0.4962;0.0009;160.292
18;2;Скотт Пай;None;Holden Commodore VF;18;1'10.0747;0.4988;0.0026;160.286
19;888;Крэг Лаундес;None;Holden Commodore VF;33;1'10.0935;0.5176;0.0188;160.243
20;26;Shae Davies;None;Nissan Altima;22;1'10.1012;0.5253;0.0077;160.225
21;56;Джейсон Брайт;None;Ford Falcon FG-X;21;1'10.2059;0.6300;0.1047;159.986
22;36;Тодд Хазелвуд;None;Holden Commodore VF;19;1'10.2213;0.6454;0.0154;159.951
23;21;Тим Бланкард;None;Holden Commodore VF;18;1'10.2714;0.6955;0.0501;159.837
24;33;Гарт Тандер;None;Holden Commodore VF;17;1'10.2979;0.7220;0.0265;159.777
25;31;Джеймс Голдинг;None;Holden Commodore VF;22;1'10.3075;0.7316;0.0096;159.755
26;5;Марк Винтерботтом;None;Ford Falcon FG-X;18;1'10.3556;0.7797;0.0481;159.646
27;34;Джеймс Моффат;None;Holden Commodore VF;20;1'10.3995;0.8236;0.0439;159.546
28;62;Алекс Рулло;None;Holden Commodore VF;24;1'10.7485;1.1726;0.3490;158.759
29;78;Симона де Сильвестро;None;Nissan Altima;21;1'11.1777;1.6018;0.4292;157.802
30;3;Алекс Дэвисон;None;Holden Commodore VF;16;1'11.7069;2.1310;0.5292;156.637
