Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'08.8167;163.216
2;888;Крэг Лаундес;None;Holden Commodore VF;1'08.8256;163.195
3;55;Час Мостер;None;Ford Falcon FG-X;1'08.9001;163.018
4;14;Тим Слейд;None;Holden Commodore VF;1'08.9027;163.012
5;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'08.9144;162.984
6;15;Рик Келли;None;Nissan Altima;1'08.9466;162.908
7;97;Шейн ван Гисберген;None;Holden Commodore VF;1'08.9859;162.815
8;23;Майкл Карузо;None;Nissan Altima;1'08.9946;162.795
9;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'09.0453;162.675
10;8;Ник Перкат;None;Holden Commodore VF;1'09.0489;162.667
11;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'09.0969;162.554
12;56;Джейсон Брайт;None;Ford Falcon FG-X;1'09.1137;162.514
13;12;Фабиан Култхард;None;Ford Falcon FG-X;1'09.1519;162.425
14;88;Джейми Уинкап;None;Holden Commodore VF;1'09.0056;162.769
15;19;Уилл Дэвисон;None;Holden Commodore VF;1'09.1620;162.401
16;2;Скотт Пай;None;Holden Commodore VF;1'09.2261;162.250
17;33;Гарт Тандер;None;Holden Commodore VF;1'09.3141;162.044
18;99;Дейл Вуд;None;Holden Commodore VF;1'09.3231;162.023
19;22;Джеймс Кортни;None;Holden Commodore VF;1'09.3349;161.996
20;36;Тодд Хазелвуд;None;Holden Commodore VF;1'09.3998;161.844
21;18;Ли Холдсуорт;None;Holden Commodore VF;1'09.4061;161.830
22;21;Тим Бланкард;None;Holden Commodore VF;1'09.4598;161.705
23;7;Тодд Келли;None;Nissan Altima;1'09.4661;161.690
24;28;Джек ЛеБрок;None;Nissan Altima;1'09.5630;161.465
25;31;Джеймс Голдинг;None;Holden Commodore VF;1'09.5858;161.412
26;26;Shae Davies;None;Nissan Altima;1'09.5886;161.405
27;78;Симона де Сильвестро;None;Nissan Altima;1'09.6683;161.221
28;34;Джеймс Моффат;None;Holden Commodore VF;1'09.8465;160.809
29;3;Алекс Дэвисон;None;Holden Commodore VF;1'09.9492;160.573
30;62;Алекс Рулло;None;Holden Commodore VF;1'10.5631;159.176
