Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;11;1'08.4208;None;None;164.160
2;55;Час Мостер;None;Ford Falcon FG-X;9;1'08.6019;0.1811;0.1811;163.727
3;88;Джейми Уинкап;None;Holden Commodore VF;9;1'08.6410;0.2202;0.0391;163.633
4;12;Фабиан Култхард;None;Ford Falcon FG-X;11;1'08.7315;0.3107;0.0905;163.418
5;97;Шейн ван Гисберген;None;Holden Commodore VF;11;1'08.7732;0.3524;0.0417;163.319
6;5;Марк Винтерботтом;None;Ford Falcon FG-X;10;1'08.9141;0.4933;0.1409;162.985
7;888;Крэг Лаундес;None;Holden Commodore VF;8;1'08.9338;0.5130;0.0197;162.938
8;8;Ник Перкат;None;Holden Commodore VF;11;1'08.9492;0.5284;0.0154;162.902
9;56;Джейсон Брайт;None;Ford Falcon FG-X;10;1'08.9495;0.5287;0.0003;162.901
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;10;1'08.9539;0.5331;0.0044;162.891
11;19;Уилл Дэвисон;None;Holden Commodore VF;11;1'08.9565;0.5357;0.0026;162.885
12;7;Тодд Келли;None;Nissan Altima;10;1'08.9765;0.5557;0.0200;162.838
13;15;Рик Келли;None;Nissan Altima;11;1'09.0076;0.5868;0.0311;162.764
14;22;Джеймс Кортни;None;Holden Commodore VF;8;1'09.0154;0.5946;0.0078;162.746
15;9;Дэвид Рейнольдс;None;Holden Commodore VF;9;1'09.0581;0.6373;0.0427;162.645
16;14;Тим Слейд;None;Holden Commodore VF;10;1'09.0725;0.6517;0.0144;162.611
17;2;Скотт Пай;None;Holden Commodore VF;10;1'09.1550;0.7342;0.0825;162.417
18;33;Гарт Тандер;None;Holden Commodore VF;8;1'09.2266;0.8058;0.0716;162.249
19;18;Ли Холдсуорт;None;Holden Commodore VF;10;1'09.2946;0.8738;0.0680;162.090
20;21;Тим Бланкард;None;Holden Commodore VF;9;1'09.3008;0.8800;0.0062;162.076
21;36;Тодд Хазелвуд;None;Holden Commodore VF;9;1'09.3013;0.8805;0.0005;162.074
22;23;Майкл Карузо;None;Nissan Altima;9;1'09.3020;0.8812;0.0007;162.073
23;99;Дейл Вуд;None;Holden Commodore VF;8;1'09.4021;0.9813;0.1001;161.839
24;31;Джеймс Голдинг;None;Holden Commodore VF;9;1'09.4174;0.9966;0.0153;161.803
25;34;Джеймс Моффат;None;Holden Commodore VF;9;1'09.5022;1.0814;0.0848;161.606
26;26;Shae Davies;None;Nissan Altima;11;1'09.5745;1.1537;0.0723;161.438
27;78;Симона де Сильвестро;None;Nissan Altima;10;1'09.6317;1.2109;0.0572;161.305
28;28;Джек ЛеБрок;None;Nissan Altima;10;1'09.6397;1.2189;0.0080;161.287
29;3;Алекс Дэвисон;None;Holden Commodore VF;11;1'09.8413;1.4205;0.2016;160.821
30;62;Алекс Рулло;None;Holden Commodore VF;7;1'10.5077;2.0869;0.6664;159.301
