Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;55;Час Мостер;None;Ford Falcon FG-X;65;1:21'42.7651;None;None;None;150
2;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;65;1:21'43.4980;0.7329;0.7329;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore VF;65;1:21'43.9917;1.2266;0.4937;None;129
4;None;88;Джейми Уинкап;None;Holden Commodore VF;65;1:21'45.4969;2.7318;1.5052;None;120
5;None;12;Фабиан Култхард;None;Ford Falcon FG-X;65;1:21'46.0180;3.2529;0.5211;None;111
6;None;888;Крэг Лаундес;None;Holden Commodore VF;65;1:21'47.2842;4.5191;1.2662;None;102
7;None;14;Тим Слейд;None;Holden Commodore VF;65;1:21'47.6773;4.9122;0.3931;None;96
8;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;65;1:21'48.3064;5.5413;0.6291;None;90
9;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;65;1:21'49.8761;7.1110;1.5697;None;84
10;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;65;1:21'52.9011;10.1360;3.0250;None;78
11;None;56;Джейсон Брайт;None;Ford Falcon FG-X;65;1:21'53.1674;10.4023;0.2663;None;72
12;None;7;Тодд Келли;None;Nissan Altima;65;1:21'54.4149;11.6498;1.2475;None;69
13;None;15;Рик Келли;None;Nissan Altima;65;1:21'54.6377;11.8726;0.2228;None;66
14;None;34;Джеймс Моффат;None;Holden Commodore VF;65;1:21'55.7560;12.9909;1.1183;None;63
15;None;33;Гарт Тандер;None;Holden Commodore VF;65;1:21'55.9679;13.2028;0.2119;None;60
16;None;2;Скотт Пай;None;Holden Commodore VF;65;1:21'56.8903;14.1252;0.9224;None;57
17;None;21;Тим Бланкард;None;Holden Commodore VF;65;1:22'00.8933;18.1282;4.0030;None;54
18;None;36;Тодд Хазелвуд;None;Holden Commodore VF;65;1:22'01.2822;18.5171;0.3889;None;51
19;None;78;Симона де Сильвестро;None;Nissan Altima;65;1:22'02.3253;19.5602;1.0431;None;48
20;None;18;Ли Холдсуорт;None;Holden Commodore VF;65;1:22'03.1938;20.4287;0.8685;None;45
21;None;31;Джеймс Голдинг;None;Holden Commodore VF;65;1:22'03.6439;20.8788;0.4501;None;42
22;None;26;Shae Davies;None;Nissan Altima;65;1:22'04.1602;21.3951;0.5163;None;39
23;None;22;Джеймс Кортни;None;Holden Commodore VF;64;1:21'53.6295;1 Lap;1 Lap;None;36
24;None;8;Ник Перкат;None;Holden Commodore VF;64;1:22'04.4139;1 Lap;10.7844;None;33
25;None;62;Алекс Рулло;None;Holden Commodore VF;64;1:22'07.4308;1 Lap;3.0169;None;30
26;None;3;Алекс Дэвисон;None;Holden Commodore VF;64;1:22'07.8829;1 Lap;0.4521;None;27
None;None;99;Дейл Вуд;None;Holden Commodore VF;41;50'57.4074;24 Laps;23 Laps;Сход;None
None;None;19;Уилл Дэвисон;None;Holden Commodore VF;38;48'54.7006;27 Laps;3 Laps;Сход;None
None;None;23;Майкл Карузо;None;Nissan Altima;26;52'13.0662;39 Laps;12 Laps;Сход;None
None;None;28;Джек ЛеБрок;None;Nissan Altima;18;22'26.0192;47 Laps;8 Laps;Сход;None
