Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;48;1'21.3994;None;None;130.910
2;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;82;1'21.4224;0.0230;0.0230;130.873
3;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;75;1'21.5717;0.1723;0.1493;130.633
4;14;Тим Слейд Андре Хаймгартнер;None;Holden Commodore VF;85;1'21.6199;0.2205;0.0482;130.556
5;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;84;1'21.7375;0.3381;0.1176;130.368
6;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;71;1'21.8858;0.4864;0.1483;130.132
7;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;83;1'21.9193;0.5199;0.0335;130.079
8;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;77;1'22.0663;0.6669;0.1470;129.846
9;8;Ник Перкат Маколи Джонс;None;Holden Commodore VF;74;1'22.0942;0.6948;0.0279;129.802
10;99;Дейл Вуд Крис Питер;None;Holden Commodore VF;79;1'22.2658;0.8664;0.1716;129.531
11;34;Джеймс Моффат Ричард Маскат;None;Holden Commodore VF;75;1'22.3136;0.9142;0.0478;129.456
12;15;Рик Келли Дэвид Уолл;None;Nissan Altima;82;1'22.3236;0.9242;0.0100;129.440
13;2;Скотт Пай Уоррен Лафф;None;Holden Commodore VF;83;1'22.3837;0.9843;0.0601;129.345
14;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;83;1'22.4567;1.0573;0.0730;129.231
15;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;82;1'22.4826;1.0832;0.0259;129.190
16;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;84;1'22.5407;1.1413;0.0581;129.099
17;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;86;1'22.6459;1.2465;0.1052;128.935
18;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;87;1'22.7072;1.3078;0.0613;128.840
19;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;86;1'22.7295;1.3301;0.0223;128.805
20;21;Тим Бланкард Тодд Хазелвуд;None;Holden Commodore VF;77;1'22.8321;1.4327;0.1026;128.645
21;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;25;1'22.8500;1.4506;0.0179;128.617
22;78;Симона де Сильвестро Дэвид Расселл;None;Nissan Altima;84;1'22.9924;1.5930;0.1424;128.397
23;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;52;1'23.1257;1.7263;0.1333;128.191
24;7;Тодд Келли Джек ЛеБрок;None;Nissan Altima;27;1'23.7872;2.3878;0.6615;127.179
25;3;Аарен Рассел Таз Дуглас;None;Holden Commodore VF;40;1'24.0624;2.6630;0.2752;126.762
26;62;Алекс Рулло Алекс Дэвисон;None;Holden Commodore VF;41;1'24.3515;2.9521;0.2891;126.328
