Позиция;#;Гонщик;None;Машина;Время;км/ч
1;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;1'21.5486;130.670
2;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;1'21.8209;130.235
3;14;Тим Слейд Андре Хаймгартнер;None;Holden Commodore VF;1'21.8457;130.196
4;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;1'22.0260;129.910
5;15;Рик Келли Дэвид Уолл;None;Nissan Altima;1'22.0340;129.897
6;8;Ник Перкат Маколи Джонс;None;Holden Commodore VF;1'22.1247;129.753
7;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;1'22.1417;129.727
8;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;1'22.3384;129.417
9;7;Тодд Келли Джек ЛеБрок;None;Nissan Altima;1'22.4455;129.249
10;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;1'22.5950;129.015
11;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;1'22.6398;128.945
12;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;1'22.6970;128.855
13;2;Скотт Пай Уоррен Лафф;None;Holden Commodore VF;1'22.8683;128.589
14;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;1'23.1115;128.213
15;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;1'23.2770;127.958
16;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;1'23.4390;127.710
17;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;1'23.5132;127.596
18;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;1'23.5416;127.553
19;34;Джеймс Моффат Ричард Маскат;None;Holden Commodore VF;1'23.7047;127.304
20;21;Тим Бланкард Тодд Хазелвуд;None;Holden Commodore VF;1'23.8023;127.156
21;78;Симона де Сильвестро Дэвид Расселл;None;Nissan Altima;1'23.9108;126.991
22;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;1'24.0684;126.753
23;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;1'24.1889;126.572
24;99;Дейл Вуд Крис Питер;None;Holden Commodore VF;1'24.4407;126.195
25;62;Алекс Рулло Алекс Дэвисон;None;Holden Commodore VF;1'25.3471;124.854
26;3;Аарен Рассел Таз Дуглас;None;Holden Commodore VF;1'27.2650;122.110
