Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;1;1'10.8384;None;None;150.426
2;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;1;1'10.9044;0.0660;0.0660;150.286
3;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;1;1'11.0954;0.2570;0.1910;149.883
4;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;1;1'11.2026;0.3642;0.1072;149.657
5;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;1;1'11.2054;0.3670;0.0028;149.651
6;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;1;1'11.3416;0.5032;0.1362;149.365
7;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;1;1'11.5039;0.6655;0.1623;149.026
8;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;1;1'11.9327;1.0943;0.4288;148.138
9;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;1;None;None;None;None
10;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;1;None;None;None;None
