Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;19;1'28.8499;None;None;158.221
2;5;Марк Винтерботтом;None;Ford Falcon FG-X;18;1'29.0065;0.1566;0.1566;157.943
3;55;Час Мостер;None;Ford Falcon FG-X;17;1'29.0392;0.1893;0.0327;157.885
4;6;Кэмерон Уотерс;None;Ford Falcon FG-X;16;1'29.2395;0.3896;0.2003;157.531
5;23;Майкл Карузо;None;Nissan Altima;13;1'29.3544;0.5045;0.1149;157.328
6;888;Крэг Лаундес;None;Holden Commodore VF;14;1'29.4231;0.5732;0.0687;157.207
7;14;Тим Слейд;None;Holden Commodore VF;15;1'29.5022;0.6523;0.0791;157.068
8;12;Фабиан Култхард;None;Ford Falcon FG/X;17;1'29.5478;0.6979;0.0456;156.988
9;88;Джейми Уинкап;None;Holden Commodore VF;21;1'29.5878;0.7379;0.0400;156.918
10;15;Рик Келли;None;Nissan Altima;12;1'29.6114;0.7615;0.0236;156.877
11;7;Тодд Келли;None;Nissan Altima;14;1'29.6160;0.7661;0.0046;156.869
12;95;Уилл Дэвисон;None;Holden Commodore VF;16;1'29.6406;0.7907;0.0246;156.826
13;97;Шейн ван Гисберген;None;Holden Commodore VF;16;1'29.7442;0.8943;0.1036;156.645
14;9;Дэвид Рейнольдс;None;Holden Commodore VF;13;1'29.7966;0.9467;0.0524;156.553
15;8;Ник Перкат;None;Holden Commodore VF;15;1'29.8573;1.0074;0.0607;156.448
16;22;Джеймс Кортни;None;Holden Commodore VF;12;1'29.8800;1.0301;0.0227;156.408
17;18;Ли Холдсуорт;None;Holden Commodore VF;14;1'29.8817;1.0318;0.0017;156.405
18;33;Гарт Тандер;None;Holden Commodore VF;12;1'29.8950;1.0451;0.0133;156.382
19;2;Скотт Пай;None;Holden Commodore VF;11;1'29.9398;1.0899;0.0448;156.304
20;34;Джеймс Моффат;None;Holden Commodore VF;16;1'30.0901;1.2402;0.1503;156.043
21;21;Тим Бланкард;None;Holden Commodore VF;23;1'30.3785;1.5286;0.2884;155.545
22;78;Симона де Сильвестро;None;Nissan Altima;16;1'30.3805;1.5306;0.0020;155.542
23;56;Джейсон Брайт;None;Ford Falcon FG-X;14;1'30.5817;1.7318;0.2012;155.196
24;3;Алекс Дэвисон;None;Holden Commodore VF;16;1'30.6786;1.8287;0.0969;155.031
25;99;Дейл Вуд;None;Holden Commodore VF;15;1'30.8807;2.0308;0.2021;154.686
26;62;Алекс Рулло;None;Holden Commodore VF;16;1'30.9427;2.0928;0.0620;154.580
