Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'28.3208;159.169
2;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'28.5359;158.783
3;97;Шейн ван Гисберген;None;Holden Commodore VF;1'28.5931;158.680
4;12;Фабиан Култхард;None;Ford Falcon FG/X;1'28.5972;158.673
5;88;Джейми Уинкап;None;Holden Commodore VF;1'28.6036;158.661
6;14;Тим Слейд;None;Holden Commodore VF;1'28.6965;158.495
7;55;Час Мостер;None;Ford Falcon FG-X;1'28.8756;158.176
8;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'28.9007;158.131
9;2;Скотт Пай;None;Holden Commodore VF;1'28.9251;158.088
10;888;Крэг Лаундес;None;Holden Commodore VF;1'28.9300;158.079
11;23;Майкл Карузо;None;Nissan Altima;1'29.0957;157.785
12;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'29.1037;157.771
13;7;Тодд Келли;None;Nissan Altima;1'29.1774;157.640
14;95;Уилл Дэвисон;None;Holden Commodore VF;1'29.2166;157.571
15;22;Джеймс Кортни;None;Holden Commodore VF;1'29.2279;157.551
16;56;Джейсон Брайт;None;Ford Falcon FG-X;1'29.3586;157.321
17;15;Рик Келли;None;Nissan Altima;1'29.3745;157.293
18;33;Гарт Тандер;None;Holden Commodore VF;1'29.3974;157.252
19;8;Ник Перкат;None;Holden Commodore VF;1'29.4346;157.187
20;18;Ли Холдсуорт;None;Holden Commodore VF;1'29.6029;156.892
21;78;Симона де Сильвестро;None;Nissan Altima;1'29.6507;156.808
22;34;Джеймс Моффат;None;Holden Commodore VF;1'29.4507;157.159
23;21;Тим Бланкард;None;Holden Commodore VF;1'29.6952;156.730
24;99;Дейл Вуд;None;Holden Commodore VF;1'29.8395;156.479
25;3;Алекс Дэвисон;None;Holden Commodore VF;1'30.0511;156.111
26;62;Алекс Рулло;None;Holden Commodore VF;1'30.1738;155.898
