Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;6;1'28.3208;None;None;159.169
2;5;Марк Винтерботтом;None;Ford Falcon FG-X;6;1'28.5359;0.2151;0.2151;158.783
3;97;Шейн ван Гисберген;None;Holden Commodore VF;6;1'28.5931;0.2723;0.0572;158.680
4;12;Фабиан Култхард;None;Ford Falcon FG/X;6;1'28.5972;0.2764;0.0041;158.673
5;88;Джейми Уинкап;None;Holden Commodore VF;6;1'28.6036;0.2828;0.0064;158.661
6;14;Тим Слейд;None;Holden Commodore VF;6;1'28.6965;0.3757;0.0929;158.495
7;55;Час Мостер;None;Ford Falcon FG-X;5;1'28.8756;0.5548;0.1791;158.176
8;9;Дэвид Рейнольдс;None;Holden Commodore VF;6;1'28.9007;0.5799;0.0251;158.131
9;2;Скотт Пай;None;Holden Commodore VF;6;1'28.9251;0.6043;0.0244;158.088
10;888;Крэг Лаундес;None;Holden Commodore VF;6;1'28.9300;0.6092;0.0049;158.079
11;23;Майкл Карузо;None;Nissan Altima;5;1'29.0957;0.7749;0.1657;157.785
12;6;Кэмерон Уотерс;None;Ford Falcon FG-X;5;1'29.1037;0.7829;0.0080;157.771
13;7;Тодд Келли;None;Nissan Altima;5;1'29.1774;0.8566;0.0737;157.640
14;95;Уилл Дэвисон;None;Holden Commodore VF;6;1'29.2166;0.8958;0.0392;157.571
15;22;Джеймс Кортни;None;Holden Commodore VF;6;1'29.2279;0.9071;0.0113;157.551
16;56;Джейсон Брайт;None;Ford Falcon FG-X;6;1'29.3586;1.0378;0.1307;157.321
17;15;Рик Келли;None;Nissan Altima;5;1'29.3745;1.0537;0.0159;157.293
18;33;Гарт Тандер;None;Holden Commodore VF;6;1'29.3974;1.0766;0.0229;157.252
19;8;Ник Перкат;None;Holden Commodore VF;6;1'29.4346;1.1138;0.0372;157.187
20;34;Джеймс Моффат;None;Holden Commodore VF;6;1'29.4507;1.1299;0.0161;157.159
21;18;Ли Холдсуорт;None;Holden Commodore VF;6;1'29.6029;1.2821;0.1522;156.892
22;78;Симона де Сильвестро;None;Nissan Altima;6;1'29.6507;1.3299;0.0478;156.808
23;21;Тим Бланкард;None;Holden Commodore VF;5;1'29.6952;1.3744;0.0445;156.730
24;99;Дейл Вуд;None;Holden Commodore VF;5;1'29.8395;1.5187;0.1443;156.479
25;3;Алекс Дэвисон;None;Holden Commodore VF;5;1'30.0511;1.7303;0.2116;156.111
26;62;Алекс Рулло;None;Holden Commodore VF;5;1'30.1738;1.8530;0.1227;155.898
