Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;55;Час Мостер;None;Ford Falcon FG-X;1;1'04.1043;None;None;135.341
2;97;Шейн ван Гисберген;None;Holden Commodore VF;1;1'05.0593;0.9550;0.9550;133.355
3;17;Скотт Маклафлин;None;Ford Falcon FG-X;1;1'05.4026;1.2983;0.3433;132.655
4;88;Джейми Уинкап;None;Holden Commodore VF;1;1'06.1371;2.0328;0.7345;131.182
5;888;Крэг Лаундес;None;Holden Commodore VF;1;1'06.5222;2.4179;0.3851;130.422
6;9;Дэвид Рейнольдс;None;Holden Commodore VF;1;1'06.8854;2.7811;0.3632;129.714
7;56;Джейсон Брайт;None;Ford Falcon FG-X;1;1'07.5119;3.4076;0.6265;128.510
8;5;Марк Винтерботтом;None;Ford Falcon FG-X;1;1'07.9058;3.8015;0.3939;127.765
9;99;Дейл Вуд;None;Holden Commodore VF;1;1'09.4994;5.3951;1.5936;124.835
10;7;Тодд Келли;None;Nissan Altima;1;1'09.7015;5.5972;0.2021;124.473
11;12;Фабиан Култхард;None;Ford Falcon FG-X;1;1'09.7305;5.6262;0.0290;124.421
12;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1;1'09.8452;5.7409;0.1147;124.217
13;15;Рик Келли;None;Nissan Altima;1;1'09.8932;5.7889;0.0480;124.132
14;14;Тим Слейд;None;Holden Commodore VF;1;1'10.2892;6.1849;0.3960;123.432
15;33;Гарт Тандер;None;Holden Commodore VF;1;1'10.8185;6.7142;0.5293;122.510
16;8;Ник Перкат;None;Holden Commodore VF;1;1'11.2354;7.1311;0.4169;121.793
17;21;Тим Бланкард;None;Holden Commodore VF;1;1'11.7532;7.6489;0.5178;120.914
18;34;Джеймс Моффат;None;Holden Commodore VF;1;1'11.8879;7.7836;0.1347;120.687
19;18;Ли Холдсуорт;None;Holden Commodore VF;1;1'12.2795;8.1752;0.3916;120.034
20;2;Скотт Пай;None;Holden Commodore VF;1;1'12.6933;8.5890;0.4138;119.350
21;22;Джеймс Кортни;None;Holden Commodore VF;1;1'12.9604;8.8561;0.2671;118.913
22;62;Алекс Рулло;None;Holden Commodore VF;1;1'13.3546;9.2503;0.3942;118.274
23;78;Симона де Сильвестро;None;Nissan Altima;1;1'13.8773;9.7730;0.5227;117.437
24;19;Уилл Дэвисон;None;Holden Commodore VF;1;1'14.3490;10.2447;0.4717;116.692
25;3;Таз Дуглас;None;Holden Commodore VF;1;1'15.0123;10.9080;0.6633;115.661
26;23;Майкл Карузо;None;Nissan Altima;1;1'19.3810;15.2767;4.3687;109.295
