Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап;None;Holden Commodore VF;27;50.9455;None;None;170.299
2;17;Скотт Маклафлин;None;Ford Falcon FG-X;23;51.0883;0.1428;0.1428;169.823
3;97;Шейн ван Гисберген;None;Holden Commodore VF;32;51.2017;0.2562;0.1134;169.447
4;2;Скотт Пай;None;Holden Commodore VF;26;51.3238;0.3783;0.1221;169.044
5;12;Фабиан Култхард;None;Ford Falcon FG-X;26;51.3901;0.4446;0.0663;168.826
6;55;Час Мостер;None;Ford Falcon FG-X;25;51.4040;0.4585;0.0139;168.780
7;19;Уилл Дэвисон;None;Holden Commodore VF;24;51.5085;0.5630;0.1045;168.438
8;18;Ли Холдсуорт;None;Holden Commodore VF;24;51.5152;0.5697;0.0067;168.416
9;5;Марк Винтерботтом;None;Ford Falcon FG-X;24;51.5475;0.6020;0.0323;168.310
10;14;Тим Слейд;None;Holden Commodore VF;31;51.6596;0.7141;0.1121;167.945
11;8;Ник Перкат;None;Holden Commodore VF;28;51.6663;0.7208;0.0067;167.923
12;56;Джейсон Брайт;None;Ford Falcon FG-X;27;51.7188;0.7733;0.0525;167.753
13;34;Джеймс Моффат;None;Holden Commodore VF;27;51.7361;0.7906;0.0173;167.697
14;7;Тодд Келли;None;Nissan Altima;26;51.7816;0.8361;0.0455;167.549
15;99;Дейл Вуд;None;Holden Commodore VF;23;51.7894;0.8439;0.0078;167.524
16;15;Рик Келли;None;Nissan Altima;26;51.7901;0.8446;0.0007;167.522
17;33;Гарт Тандер;None;Holden Commodore VF;29;51.8200;0.8745;0.0299;167.425
18;23;Майкл Карузо;None;Nissan Altima;25;51.8973;0.9518;0.0773;167.176
19;6;Кэмерон Уотерс;None;Ford Falcon FG-X;23;51.9558;1.0103;0.0585;166.988
20;9;Дэвид Рейнольдс;None;Holden Commodore VF;25;52.1246;1.1791;0.1688;166.447
21;22;Джеймс Кортни;None;Holden Commodore VF;21;52.2804;1.3349;0.1558;165.951
22;888;Крэг Лаундес;None;Holden Commodore VF;20;52.2866;1.3411;0.0062;165.931
23;3;Таз Дуглас;None;Holden Commodore VF;36;52.3298;1.3843;0.0432;165.794
24;78;Симона де Сильвестро;None;Nissan Altima;33;52.5368;1.5913;0.2070;165.141
25;62;Алекс Рулло;None;Holden Commodore VF;10;52.8862;1.9407;0.3494;164.050
26;21;Тим Бланкард;None;Holden Commodore VF;19;53.0955;2.1500;0.2093;163.403
