Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;57.4178;151.102
2;55;Час Мостер;None;Ford Falcon FG-X;57.8003;150.103
3;97;Шейн ван Гисберген;None;Holden Commodore VF;57.8153;150.064
4;9;Дэвид Рейнольдс;None;Holden Commodore VF;57.8951;149.857
5;88;Джейми Уинкап;None;Holden Commodore VF;57.9109;149.816
6;888;Крэг Лаундес;None;Holden Commodore VF;57.9444;149.729
7;99;Дейл Вуд;None;Holden Commodore VF;57.9901;149.611
8;56;Джейсон Брайт;None;Ford Falcon FG-X;58.0375;149.489
9;7;Тодд Келли;None;Nissan Altima;58.0512;149.454
10;5;Марк Винтерботтом;None;Ford Falcon FG-X;58.1741;149.138
11;12;Фабиан Култхард;None;Ford Falcon FG-X;58.1922;149.092
12;14;Тим Слейд;None;Holden Commodore VF;58.2340;148.985
13;6;Кэмерон Уотерс;None;Ford Falcon FG-X;58.2450;148.956
14;15;Рик Келли;None;Nissan Altima;58.2471;148.951
15;21;Тим Бланкард;None;Holden Commodore VF;58.2766;148.876
16;33;Гарт Тандер;None;Holden Commodore VF;58.2773;148.874
17;8;Ник Перкат;None;Holden Commodore VF;58.3178;148.771
18;34;Джеймс Моффат;None;Holden Commodore VF;58.4115;148.532
19;2;Скотт Пай;None;Holden Commodore VF;58.6161;148.013
20;18;Ли Холдсуорт;None;Holden Commodore VF;58.6895;147.828
21;22;Джеймс Кортни;None;Holden Commodore VF;58.7467;147.684
22;62;Алекс Рулло;None;Holden Commodore VF;59.0880;146.831
23;78;Симона де Сильвестро;None;Nissan Altima;58.9291;147.227
24;23;Майкл Карузо;None;Nissan Altima;59.0997;146.802
25;19;Уилл Дэвисон;None;Holden Commodore VF;1'00.2153;144.082
26;3;Таз Дуглас;None;Holden Commodore VF;59.5037;145.806
