Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап;None;Holden Commodore VF;19;58.3971;None;None;148.569
2;17;Скотт Маклафлин;None;Ford Falcon FG-X;18;58.6678;0.2707;0.2707;147.883
3;55;Час Мостер;None;Ford Falcon FG-X;19;58.7079;0.3108;0.0401;147.782
4;14;Тим Слейд;None;Holden Commodore VF;16;58.8794;0.4823;0.1715;147.352
5;97;Шейн ван Гисберген;None;Holden Commodore VF;19;58.9093;0.5122;0.0299;147.277
6;12;Фабиан Култхард;None;Ford Falcon FG-X;18;59.1030;0.7059;0.1937;146.794
7;7;Тодд Келли;None;Nissan Altima;18;59.1156;0.7185;0.0126;146.763
8;888;Крэг Лаундес;None;Holden Commodore VF;20;59.1516;0.7545;0.0360;146.673
9;9;Дэвид Рейнольдс;None;Holden Commodore VF;18;59.1881;0.7910;0.0365;146.583
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;19;59.1974;0.8003;0.0093;146.560
11;18;Ли Холдсуорт;None;Holden Commodore VF;18;59.2207;0.8236;0.0233;146.502
12;5;Марк Винтерботтом;None;Ford Falcon FG-X;19;59.2281;0.8310;0.0074;146.484
13;23;Майкл Карузо;None;Nissan Altima;19;59.2682;0.8711;0.0401;146.385
14;33;Гарт Тандер;None;Holden Commodore VF;20;59.4243;1.0272;0.1561;146.000
15;2;Скотт Пай;None;Holden Commodore VF;19;59.4861;1.0890;0.0618;145.849
16;8;Ник Перкат;None;Holden Commodore VF;17;59.5786;1.1815;0.0925;145.622
17;56;Джейсон Брайт;None;Ford Falcon FG-X;19;59.6093;1.2122;0.0307;145.547
18;99;Дейл Вуд;None;Holden Commodore VF;19;59.6364;1.2393;0.0271;145.481
19;34;Джеймс Моффат;None;Holden Commodore VF;18;59.7258;1.3287;0.0894;145.263
20;78;Симона де Сильвестро;None;Nissan Altima;17;59.9941;1.5970;0.2683;144.614
21;21;Тим Бланкард;None;Holden Commodore VF;16;1'00.2586;1.8615;0.2645;143.979
22;62;Алекс Рулло;None;Holden Commodore VF;1;None;None;None;None
