Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore VF;4;54'29.0032;None;None;None;None
2;None;88;Джейми Уинкап;None;Holden Commodore VF;4;54'29.3984;0.3952;0.3952;None;None
3;None;888;Крэг Лаундес;None;Holden Commodore VF;4;54'29.7262;0.7230;0.3278;None;None
4;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;4;54'30.2672;1.2640;0.5410;None;None
5;None;55;Час Мостер;None;Ford Falcon FG-X;4;54'30.7402;1.7370;0.4730;None;None
6;None;56;Джейсон Брайт;None;Ford Falcon FG-X;4;54'31.1527;2.1495;0.4125;None;None
7;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;4;54'31.7044;2.7012;0.5517;None;None
8;None;7;Тодд Келли;None;Nissan Altima;4;54'32.9690;3.9658;1.2646;None;None
9;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;4;54'33.5117;4.5085;0.5427;None;None
10;None;12;Фабиан Култхард;None;Ford Falcon FG-X;4;54'34.1698;5.1666;0.6581;None;-35
11;None;18;Ли Холдсуорт;None;Holden Commodore VF;4;54'34.8962;5.8930;0.7264;None;None
12;None;23;Майкл Карузо;None;Nissan Altima;4;54'35.3685;6.3653;0.4723;None;None
13;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;4;54'35.9839;6.9807;0.6154;None;None
14;None;78;Симона де Сильвестро;None;Nissan Altima;4;54'36.5567;7.5535;0.5728;None;None
15;None;99;Дейл Вуд;None;Holden Commodore VF;4;54'57.4335;28.4303;20.8768;None;None
None;None;15;Рик Келли;None;Nissan Altima;1;1'09.8931;3 Laps;3 Laps;Сход;None
None;None;14;Тим Слейд;None;Holden Commodore VF;1;1'10.2891;3 Laps;0.3960;Сход;None
None;None;33;Гарт Тандер;None;Holden Commodore VF;1;1'10.8185;3 Laps;0.5294;Сход;None
None;None;8;Ник Перкат;None;Holden Commodore VF;1;1'11.2354;3 Laps;0.4169;Сход;None
None;None;21;Тим Бланкард;None;Holden Commodore VF;1;1'11.7532;3 Laps;0.5178;Сход;None
None;None;34;Джеймс Моффат;None;Holden Commodore VF;1;1'11.8879;3 Laps;0.1347;Сход;None
None;None;2;Скотт Пай;None;Holden Commodore VF;1;1'12.6932;3 Laps;0.8053;Сход;None
None;None;22;Джеймс Кортни;None;Holden Commodore VF;1;1'12.9604;3 Laps;0.2672;Сход;None
None;None;62;Алекс Рулло;None;Holden Commodore VF;1;1'13.3546;3 Laps;0.3942;Сход;None
None;None;19;Уилл Дэвисон;None;Holden Commodore VF;1;1'14.3490;3 Laps;0.9944;Сход;None
None;None;3;Таз Дуглас;None;Holden Commodore VF;1;1'15.0122;3 Laps;0.6632;Сход;None
