Позиция;#;Гонщик;None;Машина;Время;км/ч
1;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;None;None
2;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;None;None
3;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;None;None
4;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;None;None
5;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;None;None
6;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;None;None
7;99;Дейл Вуд Крис Питер;None;Holden Commodore VF;None;None
8;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;None;None
9;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;None;None
10;8;Ник Перкат Маколи Джонс;None;Holden Commodore VF;None;None
11;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;None;None
12;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;None;None
13;15;Рик Келли Дэвид Уолл;None;Nissan Altima;None;None
14;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;None;None
15;2;Скотт Пай Уоррен Лафф;None;Holden Commodore VF;None;None
16;34;Джеймс Моффат Ричард Маскат;None;Holden Commodore VF;None;None
17;75;Тим Слейд Эш Уолш;None;Holden Commodore VF;None;None
18;7;Тодд Келли Джек ЛеБрок;None;Nissan Altima;None;None
19;3;Аарен Рассел Таз Дуглас;None;Holden Commodore VF;None;None
20;62;Алекс Рулло Алекс Дэвисон;None;Holden Commodore VF;None;None
21;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;None;None
22;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;None;None
23;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;None;None
24;78;Симона де Сильвестро Дэвид Расселл;None;Nissan Altima;None;None
25;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;None;None
