Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;7;1'12.0307;None;None;142.939
2;55;Час Мостер;None;Ford Falcon FG-X;8;1'12.2986;0.2679;0.2679;142.409
3;5;Марк Винтерботтом;None;Ford Falcon FG-X;9;1'12.3043;0.2736;0.0057;142.398
4;9;Дэвид Рейнольдс;None;Holden Commodore VF;8;1'12.3290;0.2983;0.0247;142.349
5;88;Джейми Уинкап;None;Holden Commodore VF;9;1'12.3513;0.3206;0.0223;142.305
6;97;Шейн ван Гисберген;None;Holden Commodore VF;12;1'12.4495;0.4188;0.0982;142.112
7;6;Кэмерон Уотерс;None;Ford Falcon FG-X;8;1'12.4542;0.4235;0.0047;142.103
8;56;Джейсон Брайт;None;Ford Falcon FG-X;11;1'12.4640;0.4333;0.0098;142.084
9;33;Гарт Тандер;None;Holden Commodore VF;9;1'12.5213;0.4906;0.0573;141.972
10;15;Рик Келли;None;Nissan Altima;7;1'12.5271;0.4964;0.0058;141.960
11;23;Майкл Карузо;None;Nissan Altima;7;1'12.5662;0.5355;0.0391;141.884
12;12;Фабиан Култхард;None;Ford Falcon FG-X;10;1'12.5681;0.5374;0.0019;141.880
13;22;Джеймс Кортни;None;Holden Commodore VF;9;1'12.5914;0.5607;0.0233;141.834
14;7;Тодд Келли;None;Nissan Altima;10;1'12.5994;0.5687;0.0080;141.819
15;18;Ли Холдсуорт;None;Holden Commodore VF;8;1'12.6116;0.5809;0.0122;141.795
16;34;Джеймс Моффат;None;Holden Commodore VF;10;1'12.6232;0.5925;0.0116;141.772
17;19;Уилл Дэвисон;None;Holden Commodore VF;9;1'12.6687;0.6380;0.0455;141.684
18;14;Тим Слейд;None;Holden Commodore VF;9;1'12.6821;0.6514;0.0134;141.657
19;2;Скотт Пай;None;Holden Commodore VF;10;1'12.6968;0.6661;0.0147;141.629
20;8;Ник Перкат;None;Holden Commodore VF;9;1'12.8198;0.7891;0.1230;141.390
21;888;Крэг Лаундес;None;Holden Commodore VF;10;1'12.8501;0.8194;0.0303;141.331
22;99;Дейл Вуд;None;Holden Commodore VF;9;1'13.0122;0.9815;0.1621;141.017
23;21;Тим Бланкард;None;Holden Commodore VF;8;1'13.0976;1.0669;0.0854;140.852
24;78;Симона де Сильвестро;None;Nissan Altima;11;1'13.2987;1.2680;0.2011;140.466
25;62;Алекс Рулло;None;Holden Commodore VF;9;1'13.4398;1.4091;0.1411;140.196
26;3;Аарен Рассел;None;Holden Commodore VF;10;1'13.5707;1.5400;0.1309;139.947
