Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1;1'11.9908;None;None;143.018
2;97;Шейн ван Гисберген;None;Holden Commodore VF;1;1'12.2588;0.2680;0.2680;142.487
3;9;Дэвид Рейнольдс;None;Holden Commodore VF;1;1'12.2799;0.2891;0.0211;142.446
4;88;Джейми Уинкап;None;Holden Commodore VF;1;1'12.3342;0.3434;0.0543;142.339
5;5;Марк Винтерботтом;None;Ford Falcon FG-X;1;1'12.4297;0.4389;0.0955;142.151
6;55;Час Мостер;None;Ford Falcon FG-X;1;1'12.4515;0.4607;0.0218;142.108
7;15;Рик Келли;None;Nissan Altima;1;1'12.6394;0.6486;0.1879;141.741
8;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1;1'12.6656;0.6748;0.0262;141.690
9;33;Гарт Тандер;None;Holden Commodore VF;1;1'12.6848;0.6940;0.0192;141.652
10;56;Джейсон Брайт;None;Ford Falcon FG-X;1;1'28.9963;17.0055;16.3115;115.690
