Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;9;1'19.3807;None;None;136.053
2;55;Час Мостер;None;Ford Falcon FG-X;7;1'19.5447;0.1640;0.1640;135.772
3;97;Шейн ван Гисберген;None;Holden Commodore VF;7;1'19.5747;0.1940;0.0300;135.721
4;88;Джейми Уинкап;None;Holden Commodore VF;6;1'19.6454;0.2647;0.0707;135.601
5;12;Фабиан Култхард;None;Ford Falcon FG-X;9;1'19.7619;0.3812;0.1165;135.402
6;8;Ник Перкат;None;Holden Commodore VF;6;1'19.8698;0.4891;0.1079;135.220
7;15;Рик Келли;None;Nissan Altima;7;1'19.9055;0.5248;0.0357;135.159
8;19;Уилл Дэвисон;None;Holden Commodore VF;6;1'19.9425;0.5618;0.0370;135.097
9;5;Марк Винтерботтом;None;Ford Falcon FG-X;6;1'19.9448;0.5641;0.0023;135.093
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;6;1'19.9705;0.5898;0.0257;135.049
11;7;Тодд Келли;None;Nissan Altima;6;1'19.9961;0.6154;0.0256;135.006
12;18;Ли Холдсуорт;None;Holden Commodore VF;8;1'20.0261;0.6454;0.0300;134.955
13;33;Гарт Тандер;None;Holden Commodore VF;9;1'20.1508;0.7701;0.1247;134.746
14;9;Дэвид Рейнольдс;None;Holden Commodore VF;8;1'20.1716;0.7909;0.0208;134.711
15;14;Тим Слейд;None;Holden Commodore VF;7;1'20.1864;0.8057;0.0148;134.686
16;56;Джейсон Брайт;None;Ford Falcon FG-X;7;1'20.2024;0.8217;0.0160;134.659
17;23;Майкл Карузо;None;Nissan Altima;5;1'20.2208;0.8401;0.0184;134.628
18;31;Джеймс Голдинг;None;Holden Commodore VF;8;1'20.2867;0.9060;0.0659;134.517
19;888;Крэг Лаундес;None;Holden Commodore VF;7;1'20.2894;0.9087;0.0027;134.513
20;4;Маколи Джонс;None;Holden Commodore VF;7;1'20.2901;0.9094;0.0007;134.512
21;2;Скотт Пай;None;Holden Commodore VF;7;1'20.3439;0.9632;0.0538;134.422
22;21;Тим Бланкард;None;Holden Commodore VF;7;1'20.3995;1.0188;0.0556;134.329
23;22;Джеймс Кортни;None;Holden Commodore VF;6;1'20.4620;1.0813;0.0625;134.224
24;78;Симона де Сильвестро;None;Nissan Altima;7;1'20.4749;1.0942;0.0129;134.203
25;34;Джеймс Моффат;None;Holden Commodore VF;8;1'20.9073;1.5266;0.4324;133.486
26;99;Дейл Вуд;None;Holden Commodore VF;6;1'20.9762;1.5955;0.0689;133.372
27;26;Shae Davies;None;Nissan Altima;7;1'21.0538;1.6731;0.0776;133.244
28;3;Таз Дуглас;None;Holden Commodore VF;7;1'21.1823;1.8016;0.1285;133.033
29;62;Алекс Рулло;None;Holden Commodore VF;8;1'21.4057;2.0250;0.2234;132.668
