Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;40;54'58.0578;None;None;None;150
2;None;88;Джейми Уинкап;None;Holden Commodore VF;40;54'59.6820;1.6242;1.6242;None;138
3;None;12;Фабиан Култхард;None;Ford Falcon FG-X;40;55'00.4821;2.4243;0.8001;None;129
4;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;40;55'08.4364;10.3786;7.9543;None;120
5;None;19;Уилл Дэвисон;None;Holden Commodore VF;40;55'15.3123;17.2545;6.8759;None;111
6;None;888;Крэг Лаундес;None;Holden Commodore VF;40;55'17.0349;18.9771;1.7226;None;102
7;None;33;Гарт Тандер;None;Holden Commodore VF;40;55'18.4816;20.4238;1.4467;None;96
8;None;97;Шейн ван Гисберген;None;Holden Commodore VF;40;55'18.8092;20.7514;0.3276;None;90
9;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;40;55'21.1808;23.1230;2.3716;None;84
10;None;8;Ник Перкат;None;Holden Commodore VF;40;55'40.4311;42.3733;19.2503;None;78
11;None;18;Ли Холдсуорт;None;Holden Commodore VF;40;55'40.6999;42.6421;0.2688;None;72
12;None;7;Тодд Келли;None;Nissan Altima;40;55'41.2136;43.1558;0.5137;None;69
13;None;23;Майкл Карузо;None;Nissan Altima;40;55'42.3885;44.3307;1.1749;None;66
14;None;2;Скотт Пай;None;Holden Commodore VF;40;55'42.8780;44.8202;0.4895;None;63
15;None;15;Рик Келли;None;Nissan Altima;40;55'43.1444;45.0866;0.2664;None;60
16;None;31;Джеймс Голдинг;None;Holden Commodore VF;40;55'43.5111;45.4533;0.3667;None;57
17;None;21;Тим Бланкард;None;Holden Commodore VF;40;55'43.8886;45.8308;0.3775;None;54
18;None;26;Shae Davies;None;Nissan Altima;40;55'44.9155;46.8577;1.0269;None;51
19;None;34;Джеймс Моффат;None;Holden Commodore VF;40;55'47.0758;49.0180;2.1603;None;48
20;None;4;Маколи Джонс;None;Holden Commodore VF;40;55'52.8636;54.8058;5.7878;None;45
21;None;99;Дейл Вуд;None;Holden Commodore VF;40;55'59.5996;1'01.5418;6.7360;None;42
22;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;40;55'59.7959;1'01.7381;0.1963;None;39
23;None;78;Симона де Сильвестро;None;Nissan Altima;40;56'02.2959;1'04.2381;2.5000;None;36
24;None;3;Таз Дуглас;None;Holden Commodore VF;40;56'02.8265;1'04.7687;0.5306;None;33
25;None;62;Алекс Рулло;None;Holden Commodore VF;40;56'07.1042;1'09.0464;4.2777;None;30
26;None;56;Джейсон Брайт;None;Ford Falcon FG-X;40;56'14.2035;1'16.1457;7.0993;None;27
27;None;14;Тим Слейд;None;Holden Commodore VF;40;56'14.5371;1'16.4793;0.3336;None;24
None;None;22;Джеймс Кортни;None;Holden Commodore VF;39;54'17.0241;1 Lap;1 Lap;Сход;None
None;None;55;Час Мостер;None;Ford Falcon FG-X;13;18'24.6116;27 Laps;26 Laps;Сход;None
