Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
None;1;Джейми Уинкап;None;Holden Commodore ZB;40;1'50.5833;None;None;161.145
None;2;Скотт Пай;None;Holden Commodore ZB;10;1'50.9014;0.3181;0.0767;160.683
None;5;Марк Винтерботтом;None;Ford Falcon FG X;34;1'51.1548;0.5715;0.0152;160.316
None;6;Кэмерон Уотерс;None;Ford Falcon FG X;39;1'51.4223;0.8390;0.1578;159.932
None;7;Андре Хаймгартнер;None;Nissan Altima;2;1'53.0985;2.5152;0.3212;157.561
None;8;Ник Перкат;None;Holden Commodore ZB;19;1'50.6483;0.0650;0.0446;161.050
None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;12;1'50.8247;0.2414;0.1764;160.794
None;12;Фабиан Култхард;None;Ford Falcon FG X;32;1'51.1757;0.5924;0.0209;160.286
None;14;Тим Слейд;None;Holden Commodore ZB;21;1'51.1396;0.5563;0.0946;160.338
None;15;Рик Келли;None;Nissan Altima;41;1'51.0240;0.4407;0.0219;160.505
None;17;Скотт Маклафлин;None;Ford Falcon FG X;39;1'50.9595;0.3762;0.0416;160.599
None;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;19;1'52.3697;1.7864;0.4213;158.583
None;19;Джек ЛеБрок;None;Holden Commodore ZB;41;1'51.1926;0.6093;0.0169;160.262
None;21;Тим Бланкард;None;Holden Commodore ZB;37;1'51.8579;1.2746;0.1777;159.309
None;23;Майкл Карузо;None;Nissan Altima;39;1'50.9179;0.3346;0.0165;160.659
None;25;Джеймс Кортни;None;Holden Commodore ZB;38;1'51.2605;0.6772;0.0679;160.164
None;33;Гарт Тандер;None;Holden Commodore ZB;36;1'51.5832;0.9999;0.0586;159.701
None;34;Джеймс Голдинг;None;Holden Commodore ZB;41;1'51.9484;1.3651;0.0905;159.180
None;35;Тодд Хазелвуд;None;Ford Falcon FG X;23;1'52.7773;2.1940;0.4076;158.010
None;55;Час Мостер;None;Ford Falcon FG X;41;1'51.2645;0.6812;0.0040;160.158
None;56;Ричи Стэнэвей;None;Ford Falcon FG X;37;1'51.6802;1.0969;0.0458;159.562
None;78;Симона де Сильвестро;None;Nissan Altima;23;1'51.6344;1.0511;0.0512;159.628
None;97;Шейн ван Гисберген;None;Holden Commodore ZB;32;1'50.6037;0.0204;0.0204;161.115
None;99;Антон де Паскуале;None;Holden Commodore ZB;28;1'51.5246;0.9413;0.0978;159.785
None;230;Уилл Дэвисон;None;Ford Falcon FG X;39;1'51.0021;0.4188;0.0426;160.537
None;888;Крэг Лаундес;None;Holden Commodore ZB;40;1'51.0450;0.4617;0.0210;160.475
None;4;Маколи Джонс;None;Holden Commodore ZB;25;1'51.4268;0.8435;0.0045;159.925
