Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;14;Тим Слейд;None;Holden Commodore ZB;17;1'50.1395;None;None;161.794
2;23;Майкл Карузо;None;Nissan Altima;14;1'50.3344;0.1949;0.1949;161.509
3;21;Тим Бланкард;None;Holden Commodore ZB;14;1'50.4539;0.3144;0.1195;161.334
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;14;1'50.6727;0.5332;0.2188;161.015
5;9;Дэвид Рейнольдс;None;Holden Commodore ZB;12;1'51.0510;0.9115;0.3783;160.466
6;99;Антон де Паскуале;None;Holden Commodore ZB;13;1'51.0955;0.9560;0.0445;160.402
7;15;Рик Келли;None;Nissan Altima;15;1'51.2021;1.0626;0.1066;160.248
8;33;Гарт Тандер;None;Holden Commodore ZB;13;1'51.2205;1.0810;0.0184;160.222
9;55;Час Мостер;None;Ford Falcon FG X;14;1'51.2891;1.1496;0.0686;160.123
10;12;Фабиан Култхард;None;Ford Falcon FG X;17;1'51.3443;1.2048;0.0552;160.044
11;7;Андре Хаймгартнер;None;Nissan Altima;17;1'51.3479;1.2084;0.0036;160.038
12;5;Марк Винтерботтом;None;Ford Falcon FG X;14;1'51.3839;1.2444;0.0360;159.987
13;6;Кэмерон Уотерс;None;Ford Falcon FG X;15;1'51.7612;1.6217;0.3773;159.447
14;230;Уилл Дэвисон;None;Ford Falcon FG X;17;1'51.8109;1.6714;0.0497;159.376
15;888;Крэг Лаундес;None;Holden Commodore ZB;15;1'51.8501;1.7106;0.0392;159.320
16;56;Ричи Стэнэвей;None;Ford Falcon FG X;13;1'51.8895;1.7500;0.0394;159.264
17;1;Джейми Уинкап;None;Holden Commodore ZB;18;1'51.8922;1.7527;0.0027;159.260
18;17;Скотт Маклафлин;None;Ford Falcon FG X;16;1'51.9486;1.8091;0.0564;159.180
19;25;Джеймс Кортни;None;Holden Commodore ZB;11;1'52.0032;1.8637;0.0546;159.102
20;78;Симона де Сильвестро;None;Nissan Altima;16;1'52.0040;1.8645;0.0008;159.101
21;4;Маколи Джонс;None;Holden Commodore ZB;13;1'52.1787;2.0392;0.1747;158.853
22;34;Джеймс Голдинг;None;Holden Commodore ZB;14;1'52.2488;2.1093;0.0701;158.754
23;35;Тодд Хазелвуд;None;Ford Falcon FG X;12;1'52.7063;2.5668;0.4575;158.110
24;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;17;1'52.7253;2.5858;0.0190;158.083
25;42;Курт Костеки;None;Holden Commodore ZB;15;1'52.7475;2.6080;0.0222;158.052
26;19;Джек ЛеБрок;None;Holden Commodore ZB;15;1'52.8152;2.6757;0.0677;157.957
27;2;Скотт Пай;None;Holden Commodore ZB;14;1'53.0482;2.9087;0.2330;157.631
28;8;Ник Перкат;None;Holden Commodore ZB;10;1'53.3776;3.2381;0.3294;157.173
