Позиция;#;Гонщик;None;Машина;Время;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;1'48.6498;164.013
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'49.0515;163.409
3;14;Тим Слейд;None;Holden Commodore ZB;1'49.3326;162.988
4;2;Скотт Пай;None;Holden Commodore ZB;1'49.4152;162.865
5;23;Майкл Карузо;None;Nissan Altima;1'49.5336;162.689
6;888;Крэг Лаундес;None;Holden Commodore ZB;1'49.5564;162.655
7;25;Джеймс Кортни;None;Holden Commodore ZB;1'49.5622;162.647
8;99;Антон де Паскуале;None;Holden Commodore ZB;1'49.5774;162.624
9;15;Рик Келли;None;Nissan Altima;1'49.6589;162.503
10;17;Скотт Маклафлин;None;Ford Falcon FG X;1'49.6845;162.465
11;7;Андре Хаймгартнер;None;Nissan Altima;1'49.6957;162.449
12;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'49.7013;162.441
13;12;Фабиан Култхард;None;Ford Falcon FG X;1'49.7324;162.395
14;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'49.8696;162.192
15;8;Ник Перкат;None;Holden Commodore ZB;1'49.8853;162.169
16;230;Уилл Дэвисон;None;Ford Falcon FG X;1'49.9030;162.142
17;5;Марк Винтерботтом;None;Ford Falcon FG X;1'49.9457;162.080
18;33;Гарт Тандер;None;Holden Commodore ZB;1'50.0923;161.864
19;19;Джек ЛеБрок;None;Holden Commodore ZB;1'50.2835;161.583
20;4;Маколи Джонс;None;Holden Commodore ZB;1'50.3359;161.506
21;78;Симона де Сильвестро;None;Nissan Altima;1'50.3797;161.442
22;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;1'50.4713;161.308
23;21;Тим Бланкард;None;Holden Commodore ZB;1'50.4792;161.297
24;55;Час Мостер;None;Ford Falcon FG X;1'50.6633;161.028
25;34;Джеймс Голдинг;None;Holden Commodore ZB;1'50.8773;160.718
26;42;Курт Костеки;None;Holden Commodore ZB;1'51.1777;160.283
27;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'52.0455;159.042
28;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'51.1898;160.266
