Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;8;1'48.6498;None;None;164.013
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;8;1'49.0515;0.4017;0.4017;163.409
3;14;Тим Слейд;None;Holden Commodore ZB;8;1'49.3326;0.6828;0.2811;162.988
4;2;Скотт Пай;None;Holden Commodore ZB;8;1'49.4152;0.7654;0.0826;162.865
5;23;Майкл Карузо;None;Nissan Altima;6;1'49.5336;0.8838;0.1184;162.689
6;888;Крэг Лаундес;None;Holden Commodore ZB;7;1'49.5564;0.9066;0.0228;162.655
7;25;Джеймс Кортни;None;Holden Commodore ZB;7;1'49.5622;0.9124;0.0058;162.647
8;99;Антон де Паскуале;None;Holden Commodore ZB;7;1'49.5774;0.9276;0.0152;162.624
9;15;Рик Келли;None;Nissan Altima;8;1'49.6589;1.0091;0.0815;162.503
10;17;Скотт Маклафлин;None;Ford Falcon FG X;8;1'49.6845;1.0347;0.0256;162.465
11;7;Андре Хаймгартнер;None;Nissan Altima;8;1'49.6957;1.0459;0.0112;162.449
12;9;Дэвид Рейнольдс;None;Holden Commodore ZB;7;1'49.7013;1.0515;0.0056;162.441
13;12;Фабиан Култхард;None;Ford Falcon FG X;8;1'49.7324;1.0826;0.0311;162.395
14;6;Кэмерон Уотерс;None;Ford Falcon FG X;7;1'49.8696;1.2198;0.1372;162.192
15;8;Ник Перкат;None;Holden Commodore ZB;7;1'49.8853;1.2355;0.0157;162.169
16;230;Уилл Дэвисон;None;Ford Falcon FG X;7;1'49.9030;1.2532;0.0177;162.142
17;5;Марк Винтерботтом;None;Ford Falcon FG X;8;1'49.9457;1.2959;0.0427;162.080
18;33;Гарт Тандер;None;Holden Commodore ZB;8;1'50.0923;1.4425;0.1466;161.864
19;19;Джек ЛеБрок;None;Holden Commodore ZB;8;1'50.2835;1.6337;0.1912;161.583
20;4;Маколи Джонс;None;Holden Commodore ZB;8;1'50.3359;1.6861;0.0524;161.506
21;78;Симона де Сильвестро;None;Nissan Altima;7;1'50.3797;1.7299;0.0438;161.442
22;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;7;1'50.4713;1.8215;0.0916;161.308
23;21;Тим Бланкард;None;Holden Commodore ZB;7;1'50.4792;1.8294;0.0079;161.297
24;55;Час Мостер;None;Ford Falcon FG X;8;1'50.6633;2.0135;0.1841;161.028
25;34;Джеймс Голдинг;None;Holden Commodore ZB;8;1'50.8773;2.2275;0.2140;160.718
26;42;Курт Костеки;None;Holden Commodore ZB;7;1'51.1777;2.5279;0.3004;160.283
27;56;Ричи Стэнэвей;None;Ford Falcon FG X;7;1'51.1898;2.5400;0.0121;160.266
28;35;Тодд Хазелвуд;None;Ford Falcon FG X;7;1'52.0455;3.3957;0.8557;159.042
