Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;24;48'23.2330;None;None;None;150
2;None;15;Рик Келли;None;Nissan Altima;24;48'29.4931;6.2601;6.2601;None;138
3;None;23;Майкл Карузо;None;Nissan Altima;24;48'32.1451;8.9121;2.6520;None;129
4;None;1;Джейми Уинкап;None;Holden Commodore ZB;24;48'36.1199;12.8869;3.9748;None;120
5;None;5;Марк Винтерботтом;None;Ford Falcon FG X;24;48'39.0561;15.8231;2.9362;None;111
6;None;17;Скотт Маклафлин;None;Ford Falcon FG X;24;48'39.6329;16.3999;0.5768;None;102
7;None;230;Уилл Дэвисон;None;Ford Falcon FG X;24;48'40.0086;16.7756;0.3757;None;96
8;None;25;Джеймс Кортни;None;Holden Commodore ZB;24;48'40.4715;17.2385;0.4629;None;90
9;None;55;Час Мостер;None;Ford Falcon FG X;24;48'41.6520;18.4190;1.1805;None;84
10;None;888;Крэг Лаундес;None;Holden Commodore ZB;24;48'42.5916;19.3586;0.9396;None;78
11;None;8;Ник Перкат;None;Holden Commodore ZB;24;48'43.8326;20.5996;1.2410;None;72
12;None;14;Тим Слейд;None;Holden Commodore ZB;24;48'46.0109;22.7779;2.1783;None;69
13;None;6;Кэмерон Уотерс;None;Ford Falcon FG X;24;48'48.1613;24.9283;2.1504;None;66
14;None;12;Фабиан Култхард;None;Ford Falcon FG X;24;48'50.5844;27.3514;2.4231;None;63
15;None;21;Тим Бланкард;None;Holden Commodore ZB;24;48'51.2716;28.0386;0.6872;None;60
16;None;19;Джек ЛеБрок;None;Holden Commodore ZB;24;48'56.7613;33.5283;5.4897;None;57
17;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;24;48'56.9960;33.7630;0.2347;None;54
18;None;2;Скотт Пай;None;Holden Commodore ZB;24;48'57.3159;34.0829;0.3199;None;51
19;None;7;Андре Хаймгартнер;None;Nissan Altima;24;48'57.8728;34.6398;0.5569;None;48
20;None;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;24;49'03.0048;39.7718;5.1320;None;45
21;None;34;Джеймс Голдинг;None;Holden Commodore ZB;24;49'05.1302;41.8972;2.1254;None;42
22;None;56;Ричи Стэнэвей;None;Ford Falcon FG X;24;49'06.5158;43.2828;1.3856;None;39
23;None;78;Симона де Сильвестро;None;Nissan Altima;24;49'06.9479;43.7149;0.4321;None;36
24;None;99;Антон де Паскуале;None;Holden Commodore ZB;24;49'08.5961;45.3631;1.6482;None;33
25;None;4;Маколи Джонс;None;Holden Commodore ZB;24;49'08.8112;45.5782;0.2151;None;30
26;None;35;Тодд Хазелвуд;None;Ford Falcon FG X;24;49'21.1911;57.9581;12.3799;None;27
27;None;42;Курт Костеки;None;Holden Commodore ZB;24;49'30.8822;1'07.6492;9.6911;None;24
28;None;33;Гарт Тандер;None;Holden Commodore ZB;18;50'46.2683;6 Laps;6 Laps;None;21
