Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;25;Джеймс Кортни;None;Holden Commodore ZB;16;1'56.6960;None;None;163.594
2;2;Скотт Пай;None;Holden Commodore ZB;12;1'56.9845;0.2885;0.2885;163.190
3;55;Час Мостер;None;Ford Falcon FG X;10;1'57.0550;0.3590;0.0705;163.092
4;14;Тим Слейд;None;Holden Commodore ZB;15;1'57.0631;0.3671;0.0081;163.081
5;8;Ник Перкат;None;Holden Commodore ZB;14;1'57.0787;0.3827;0.0156;163.059
6;888;Крэг Лаундес;None;Holden Commodore ZB;12;1'57.2056;0.5096;0.1269;162.883
7;33;Гарт Тандер;None;Holden Commodore ZB;12;1'57.2307;0.5347;0.0251;162.848
8;1;Джейми Уинкап;None;Holden Commodore ZB;12;1'57.2780;0.5820;0.0473;162.782
9;7;Андре Хаймгартнер;None;Nissan Altima;12;1'57.3422;0.6462;0.0642;162.693
10;34;Джеймс Голдинг;None;Holden Commodore ZB;13;1'57.4129;0.7169;0.0707;162.595
11;99;Антон де Паскуале;None;Holden Commodore ZB;13;1'57.5011;0.8051;0.0882;162.473
12;15;Рик Келли;None;Nissan Altima;15;1'57.5277;0.8317;0.0266;162.436
13;6;Кэмерон Уотерс;None;Ford Falcon FG X;11;1'57.6201;0.9241;0.0924;162.308
14;17;Скотт Маклафлин;None;Ford Falcon FG X;12;1'57.6298;0.9338;0.0097;162.295
15;23;Майкл Карузо;None;Nissan Altima;11;1'57.6325;0.9365;0.0027;162.291
16;5;Марк Винтерботтом;None;Ford Falcon FG X;12;1'57.6341;0.9381;0.0016;162.289
17;12;Фабиан Култхард;None;Ford Falcon FG X;11;1'57.6698;0.9738;0.0357;162.240
18;56;Ричи Стэнэвей;None;Ford Falcon FG X;12;1'57.7689;1.0729;0.0991;162.103
19;9;Дэвид Рейнольдс;None;Holden Commodore ZB;12;1'57.8102;1.1142;0.0413;162.047
20;21;Тим Бланкард;None;Holden Commodore ZB;15;1'57.9738;1.2778;0.1636;161.822
21;35;Тодд Хазелвуд;None;Ford Falcon FG X;13;1'57.9886;1.2926;0.0148;161.802
22;19;Джек ЛеБрок;None;Holden Commodore ZB;12;1'57.9991;1.3031;0.0105;161.787
23;78;Симона де Сильвестро;None;Nissan Altima;12;1'58.0025;1.3065;0.0034;161.783
24;97;Шейн ван Гисберген;None;Holden Commodore ZB;4;1'58.1878;1.4918;0.1853;161.529
25;230;Уилл Дэвисон;None;Ford Falcon FG X;15;1'58.3139;1.6179;0.1261;161.357
26;18;Ли Холдсуорт;None;Holden Commodore ZB;4;1'59.0575;2.3615;0.7436;160.349
