Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;9;1'55.4067;None;None;165.421
2;8;Ник Перкат;None;Holden Commodore ZB;8;1'55.7152;0.3085;0.3085;164.980
3;18;Ли Холдсуорт;None;Holden Commodore ZB;8;1'55.8823;0.4756;0.1671;164.743
4;25;Джеймс Кортни;None;Holden Commodore ZB;8;1'55.9004;0.4937;0.0181;164.717
5;12;Фабиан Култхард;None;Ford Falcon FG X;10;1'55.9027;0.4960;0.0023;164.714
6;2;Скотт Пай;None;Holden Commodore ZB;8;1'55.9893;0.5826;0.0866;164.591
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;9;1'56.0061;0.5994;0.0168;164.567
8;55;Час Мостер;None;Ford Falcon FG X;11;1'56.3417;0.9350;0.3356;164.092
9;33;Гарт Тандер;None;Holden Commodore ZB;9;1'56.4488;1.0421;0.1071;163.941
10;23;Майкл Карузо;None;Nissan Altima;8;1'56.6426;1.2359;0.1938;163.669
11;888;Крэг Лаундес;None;Holden Commodore ZB;8;1'56.7212;1.3145;0.0786;163.558
12;14;Тим Слейд;None;Holden Commodore ZB;9;1'56.7626;1.3559;0.0414;163.500
13;15;Рик Келли;None;Nissan Altima;10;1'56.8730;1.4663;0.1104;163.346
14;99;Антон де Паскуале;None;Holden Commodore ZB;9;1'57.0976;1.6909;0.2246;163.033
15;7;Андре Хаймгартнер;None;Nissan Altima;10;1'57.1508;1.7441;0.0532;162.959
16;17;Скотт Маклафлин;None;Ford Falcon FG X;12;1'57.3381;1.9314;0.1873;162.699
17;97;Шейн ван Гисберген;None;Holden Commodore ZB;8;1'57.4282;2.0215;0.0901;162.574
18;56;Ричи Стэнэвей;None;Ford Falcon FG X;11;1'57.6435;2.2368;0.2153;162.276
19;6;Кэмерон Уотерс;None;Ford Falcon FG X;10;1'57.6738;2.2671;0.0303;162.234
20;34;Джеймс Голдинг;None;Holden Commodore ZB;11;1'57.8936;2.4869;0.2198;161.932
21;35;Тодд Хазелвуд;None;Ford Falcon FG X;11;1'57.9864;2.5797;0.0928;161.805
22;21;Тим Бланкард;None;Holden Commodore ZB;6;1'58.1038;2.6971;0.1174;161.644
23;230;Уилл Дэвисон;None;Ford Falcon FG X;10;1'58.1079;2.7012;0.0041;161.638
24;78;Симона де Сильвестро;None;Nissan Altima;10;1'58.2520;2.8453;0.1441;161.441
25;19;Джек ЛеБрок;None;Holden Commodore ZB;12;1'58.6604;3.2537;0.4084;160.886
26;5;Марк Винтерботтом;None;Ford Falcon FG X;9;1'59.1153;3.7086;0.4549;160.271
