Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'54.6016;166.584
2;1;Джейми Уинкап;None;Holden Commodore ZB;1'54.9782;166.038
3;12;Фабиан Култхард;None;Ford Falcon FG X;1'54.9312;166.106
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'55.3148;165.553
5;55;Час Мостер;None;Ford Falcon FG X;1'55.3096;165.561
6;2;Скотт Пай;None;Holden Commodore ZB;1'55.4792;165.318
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'55.3205;165.545
8;33;Гарт Тандер;None;Holden Commodore ZB;1'55.6453;165.080
9;8;Ник Перкат;None;Holden Commodore ZB;1'55.3571;165.493
10;14;Тим Слейд;None;Holden Commodore ZB;1'55.6571;165.063
11;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'55.5424;165.227
12;25;Джеймс Кортни;None;Holden Commodore ZB;1'56.7086;163.576
13;23;Майкл Карузо;None;Nissan Altima;1'57.5446;162.413
14;5;Марк Винтерботтом;None;Ford Falcon FG X;1'56.1568;164.353
15;99;Антон де Паскуале;None;Holden Commodore ZB;1'55.9747;164.611
16;888;Крэг Лаундес;None;Holden Commodore ZB;1'56.3194;164.123
17;15;Рик Келли;None;Nissan Altima;1'56.4008;164.009
18;7;Андре Хаймгартнер;None;Nissan Altima;1'56.1152;164.412
19;18;Ли Холдсуорт;None;Holden Commodore ZB;1'55.9581;164.635
20;19;Джек ЛеБрок;None;Holden Commodore ZB;1'56.4169;163.986
21;34;Джеймс Голдинг;None;Holden Commodore ZB;1'56.8673;163.354
22;35;Тодд Хазелвуд;None;Ford Falcon FG X;2'10.8889;145.854
23;21;Тим Бланкард;None;Holden Commodore ZB;1'57.7028;162.194
24;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'57.0845;163.051
25;230;Уилл Дэвисон;None;Ford Falcon FG X;1'56.1739;164.329
26;78;Симона де Сильвестро;None;Nissan Altima;1'56.7399;163.532
