Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;0;1'55.4777;None;None;165.320
2;9;Дэвид Рейнольдс;None;Holden Commodore ZB;0;1'55.5330;None;None;165.241
3;8;Ник Перкат;None;Holden Commodore ZB;0;1'55.5725;None;None;165.184
4;55;Час Мостер;None;Ford Falcon FG X;0;1'55.5825;None;None;165.170
5;2;Скотт Пай;None;Holden Commodore ZB;0;1'55.7679;None;None;164.905
6;12;Фабиан Култхард;None;Ford Falcon FG X;0;1'55.8967;None;None;164.722
7;23;Майкл Карузо;None;Nissan Altima;0;1'55.9745;None;None;164.612
8;230;Уилл Дэвисон;None;Ford Falcon FG X;0;1'55.9877;None;None;164.593
9;17;Скотт Маклафлин;None;Ford Falcon FG X;0;1'55.9927;None;None;164.586
10;99;Антон де Паскуале;None;Holden Commodore ZB;0;1'55.9948;None;None;164.583
11;33;Гарт Тандер;None;Holden Commodore ZB;0;1'56.0082;None;None;164.564
12;888;Крэг Лаундес;None;Holden Commodore ZB;0;1'56.1350;None;None;164.384
13;14;Тим Слейд;None;Holden Commodore ZB;0;1'56.1409;None;None;164.376
14;5;Марк Винтерботтом;None;Ford Falcon FG X;0;1'56.2174;None;None;164.268
15;6;Кэмерон Уотерс;None;Ford Falcon FG X;0;1'56.2405;None;None;164.235
16;7;Андре Хаймгартнер;None;Nissan Altima;0;1'56.2950;None;None;164.158
17;15;Рик Келли;None;Nissan Altima;0;1'56.4759;None;None;163.903
18;19;Джек ЛеБрок;None;Holden Commodore ZB;0;1'56.4871;None;None;163.887
19;78;Симона де Сильвестро;None;Nissan Altima;0;1'56.8815;None;None;163.334
20;56;Ричи Стэнэвей;None;Ford Falcon FG X;0;1'57.0245;None;None;163.135
21;21;Тим Бланкард;None;Holden Commodore ZB;0;1'57.2643;None;None;162.801
22;34;Джеймс Голдинг;None;Holden Commodore ZB;0;1'57.6624;None;None;162.250
23;18;Ли Холдсуорт;None;Holden Commodore ZB;0;1'58.4218;None;None;161.210
24;35;Тодд Хазелвуд;None;Ford Falcon FG X;0;1'57.3489;None;None;162.684
25;25;Джеймс Кортни;None;Holden Commodore ZB;0;2'15.2033;None;None;141.200
26;97;Шейн ван Гисберген;None;Holden Commodore ZB;0;None;None;None;None
