Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;3;1'55.1576;None;None;165.779
2;8;Ник Перкат;None;Holden Commodore ZB;2;1'55.3121;0.1545;0.1545;165.557
3;2;Скотт Пай;None;Holden Commodore ZB;3;1'55.4181;0.2605;0.1060;165.405
4;1;Джейми Уинкап;None;Holden Commodore ZB;3;1'55.5744;0.4168;0.1563;165.181
5;14;Тим Слейд;None;Holden Commodore ZB;2;1'55.5841;0.4265;0.0097;165.168
6;55;Час Мостер;None;Ford Falcon FG X;4;1'55.6534;0.4958;0.0693;165.069
7;12;Фабиан Култхард;None;Ford Falcon FG X;3;1'55.7604;0.6028;0.1070;164.916
8;23;Майкл Карузо;None;Nissan Altima;2;1'55.7936;0.6360;0.0332;164.869
9;9;Дэвид Рейнольдс;None;Holden Commodore ZB;4;1'55.8202;0.6626;0.0266;164.831
10;888;Крэг Лаундес;None;Holden Commodore ZB;2;1'55.8516;0.6940;0.0314;164.786
11;25;Джеймс Кортни;None;Holden Commodore ZB;2;1'55.9946;0.8370;0.1430;164.583
12;5;Марк Винтерботтом;None;Ford Falcon FG X;3;1'56.0122;0.8546;0.0176;164.558
13;99;Антон де Паскуале;None;Holden Commodore ZB;2;1'56.0816;0.9240;0.0694;164.460
14;33;Гарт Тандер;None;Holden Commodore ZB;4;1'56.1326;0.9750;0.0510;164.387
15;7;Андре Хаймгартнер;None;Nissan Altima;4;1'56.1449;0.9873;0.0123;164.370
16;15;Рик Келли;None;Nissan Altima;2;1'56.1778;1.0202;0.0329;164.323
17;97;Шейн ван Гисберген;None;Holden Commodore ZB;3;1'56.3884;1.2308;0.2106;164.026
18;78;Симона де Сильвестро;None;Nissan Altima;2;1'56.5177;1.3601;0.1293;163.844
19;230;Уилл Дэвисон;None;Ford Falcon FG X;3;1'56.6207;1.4631;0.1030;163.699
20;34;Джеймс Голдинг;None;Holden Commodore ZB;4;1'56.6627;1.5051;0.0420;163.640
21;21;Тим Бланкард;None;Holden Commodore ZB;2;1'56.6871;1.5295;0.0244;163.606
22;6;Кэмерон Уотерс;None;Ford Falcon FG X;4;1'56.8657;1.7081;0.1786;163.356
23;19;Джек ЛеБрок;None;Holden Commodore ZB;2;1'56.9542;1.7966;0.0885;163.233
24;18;Ли Холдсуорт;None;Holden Commodore ZB;4;1'57.0785;1.9209;0.1243;163.059
25;56;Ричи Стэнэвей;None;Ford Falcon FG X;4;1'57.1634;2.0058;0.0849;162.941
26;35;Тодд Хазелвуд;None;Ford Falcon FG X;3;1'57.3529;2.1953;0.1895;162.678
