Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;2;Скотт Пай;None;Holden Commodore ZB;25;52'16.7559;None;None;None;100
2;None;1;Джейми Уинкап;None;Holden Commodore ZB;25;52'17.0171;0.2612;0.2612;None;92
3;None;8;Ник Перкат;None;Holden Commodore ZB;25;52'17.7818;1.0259;0.7647;None;86
4;None;14;Тим Слейд;None;Holden Commodore ZB;25;52'22.2964;5.5405;4.5146;None;80
5;None;25;Джеймс Кортни;None;Holden Commodore ZB;25;52'26.3179;9.5620;4.0215;None;74
6;None;888;Крэг Лаундес;None;Holden Commodore ZB;25;52'28.5315;11.7756;2.2136;None;68
7;None;5;Марк Винтерботтом;None;Ford Falcon FG X;25;52'33.6104;16.8545;5.0789;None;64
8;None;230;Уилл Дэвисон;None;Ford Falcon FG X;25;52'38.9729;22.2170;5.3625;None;60
9;None;6;Кэмерон Уотерс;None;Ford Falcon FG X;25;52'43.5288;26.7729;4.5559;None;56
10;None;55;Час Мостер;None;Ford Falcon FG X;25;52'56.5644;39.8085;13.0356;None;52
11;None;21;Тим Бланкард;None;Holden Commodore ZB;25;52'59.1732;42.4173;2.6088;None;48
12;None;12;Фабиан Култхард;None;Ford Falcon FG X;25;53'01.5893;44.8334;2.4161;None;46
13;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;25;53'03.5848;46.8289;1.9955;None;44
14;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;25;53'04.8090;48.0531;1.2242;None;42
15;None;17;Скотт Маклафлин;None;Ford Falcon FG X;25;53'19.3699;1'02.6140;14.5609;None;40
16;None;23;Майкл Карузо;None;Nissan Altima;25;53'21.7267;1'04.9708;2.3568;None;38
17;None;15;Рик Келли;None;Nissan Altima;25;53'22.3719;1'05.6160;0.6452;None;36
18;None;35;Тодд Хазелвуд;None;Ford Falcon FG X;25;53'25.5324;1'08.7765;3.1605;None;34
19;None;18;Ли Холдсуорт;None;Holden Commodore ZB;25;53'27.9409;1'11.1850;2.4085;None;32
20;None;7;Андре Хаймгартнер;None;Nissan Altima;25;53'35.7647;1'19.0088;7.8238;None;30
21;None;99;Антон де Паскуале;None;Holden Commodore ZB;25;53'37.9969;1'21.2410;2.2322;None;28
22;None;19;Джек ЛеБрок;None;Holden Commodore ZB;25;53'38.1491;1'21.3932;0.1522;None;26
23;None;78;Симона де Сильвестро;None;Nissan Altima;25;53'41.9297;1'25.1738;3.7806;None;24
24;None;34;Джеймс Голдинг;None;Holden Commodore ZB;25;54'11.4326;1'54.6767;29.5029;None;22
25;None;56;Ричи Стэнэвей;None;Ford Falcon FG X;25;54'12.4144;1'55.6585;0.9818;None;20
26;None;33;Гарт Тандер;None;Holden Commodore ZB;24;52'20.8364;1 Lap;1 Lap;None;18
