Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;14;Тим Слейд;None;Holden Commodore ZB;61;56.4439;None;None;154.347
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;67;56.4548;0.0109;0.0109;154.318
3;6;Кэмерон Уотерс;None;Ford Falcon FG X;36;56.6162;0.1723;0.1614;153.878
4;55;Час Мостер;None;Ford Falcon FG X;9;56.7108;0.2669;0.0946;153.621
5;19;Джек ЛеБрок;None;Holden Commodore ZB;68;56.7574;0.3135;0.0466;153.495
6;888;Крэг Лаундес;None;Holden Commodore ZB;62;56.7892;0.3453;0.0318;153.409
7;8;Ник Перкат;None;Holden Commodore ZB;66;56.8609;0.4170;0.0717;153.216
8;1;Джейми Уинкап;None;Holden Commodore ZB;2;56.8659;0.4220;0.0050;153.202
9;7;Андре Хаймгартнер;None;Nissan Altima;2;56.8679;0.4240;0.0020;153.197
10;9;Дэвид Рейнольдс;None;Holden Commodore ZB;2;56.9017;0.4578;0.0338;153.106
11;33;Гарт Тандер;None;Holden Commodore ZB;39;56.9378;0.4939;0.0361;153.009
12;15;Рик Келли;None;Nissan Altima;68;56.9544;0.5105;0.0166;152.964
13;400;Уилл Дэвисон;None;Ford Falcon FG X;63;57.0046;0.5607;0.0502;152.829
14;2;Скотт Пай;None;Holden Commodore ZB;61;57.0291;0.5852;0.0245;152.764
15;18;Ли Холдсуорт;None;Holden Commodore ZB;27;57.0620;0.6181;0.0329;152.676
16;25;Джеймс Кортни;None;Holden Commodore ZB;2;57.0838;0.6399;0.0218;152.617
17;5;Марк Винтерботтом;None;Ford Falcon FG X;61;57.1427;0.6988;0.0589;152.460
18;78;Симона де Сильвестро;None;Nissan Altima;34;57.1464;0.7025;0.0037;152.450
19;17;Скотт Маклафлин;None;Ford Falcon FG X;8;57.1542;0.7103;0.0078;152.429
20;35;Тодд Хазелвуд;None;Ford Falcon FG X;64;57.2252;0.7813;0.0710;152.240
21;99;Антон де Паскуале;None;Holden Commodore ZB;67;57.2713;0.8274;0.0461;152.118
22;56;Ричи Стэнэвей;None;Ford Falcon FG X;61;57.2914;0.8475;0.0201;152.064
23;23;Майкл Карузо;None;Nissan Altima;8;57.3973;0.9534;0.1059;151.784
24;12;Фабиан Култхард;None;Ford Falcon FG X;10;57.4280;0.9841;0.0307;151.703
25;21;Тим Бланкард;None;Holden Commodore ZB;9;57.5719;1.1280;0.1439;151.323
26;34;Джеймс Голдинг;None;Holden Commodore ZB;6;58.3719;1.9280;0.8000;149.249
