Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;13;55.2686;None;None;157.630
2;55;Час Мостер;None;Ford Falcon FG X;15;55.3115;0.0429;0.0429;157.507
3;400;Уилл Дэвисон;None;Ford Falcon FG X;14;55.3226;0.0540;0.0111;157.476
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;13;55.3315;0.0629;0.0089;157.450
5;8;Ник Перкат;None;Holden Commodore ZB;12;55.3442;0.0756;0.0127;157.414
6;14;Тим Слейд;None;Holden Commodore ZB;13;55.3464;0.0778;0.0022;157.408
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;14;55.4220;0.1534;0.0756;157.193
8;15;Рик Келли;None;Nissan Altima;14;55.5771;0.3085;0.1551;156.755
9;7;Андре Хаймгартнер;None;Nissan Altima;14;55.5772;0.3086;0.0001;156.754
10;34;Джеймс Голдинг;None;Holden Commodore ZB;11;55.6000;0.3314;0.0228;156.690
11;23;Майкл Карузо;None;Nissan Altima;10;55.6525;0.3839;0.0525;156.542
12;17;Скотт Маклафлин;None;Ford Falcon FG X;15;55.6849;0.4163;0.0324;156.451
13;21;Тим Бланкард;None;Holden Commodore ZB;14;55.7012;0.4326;0.0163;156.405
14;18;Ли Холдсуорт;None;Holden Commodore ZB;13;55.7468;0.4782;0.0456;156.278
15;99;Антон де Паскуале;None;Holden Commodore ZB;14;55.7701;0.5015;0.0233;156.212
16;56;Ричи Стэнэвей;None;Ford Falcon FG X;11;55.7736;0.5050;0.0035;156.202
17;888;Крэг Лаундес;None;Holden Commodore ZB;15;55.7991;0.5305;0.0255;156.131
18;35;Тодд Хазелвуд;None;Ford Falcon FG X;15;55.8020;0.5334;0.0029;156.123
19;5;Марк Винтерботтом;None;Ford Falcon FG X;14;55.8580;0.5894;0.0560;155.966
20;6;Кэмерон Уотерс;None;Ford Falcon FG X;14;55.8600;0.5914;0.0020;155.961
21;12;Фабиан Култхард;None;Ford Falcon FG X;14;55.9270;0.6584;0.0670;155.774
22;33;Гарт Тандер;None;Holden Commodore ZB;14;55.9612;0.6926;0.0342;155.679
23;78;Симона де Сильвестро;None;Nissan Altima;14;56.0865;0.8179;0.1253;155.331
24;19;Джек ЛеБрок;None;Holden Commodore ZB;12;56.1077;0.8391;0.0212;155.272
25;25;Джеймс Кортни;None;Holden Commodore ZB;14;56.1610;0.8924;0.0533;155.125
26;2;Скотт Пай;None;Holden Commodore ZB;13;56.4883;1.2197;0.3273;154.226
