Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;54.6397;159.444
2;6;Кэмерон Уотерс;None;Ford Falcon FG X;54.7123;159.232
3;12;Фабиан Култхард;None;Ford Falcon FG X;54.7280;159.187
4;5;Марк Винтерботтом;None;Ford Falcon FG X;54.7318;159.176
5;14;Тим Слейд;None;Holden Commodore ZB;54.8034;158.968
6;55;Час Мостер;None;Ford Falcon FG X;54.8639;158.792
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;54.8837;158.735
8;888;Крэг Лаундес;None;Holden Commodore ZB;54.8974;158.696
9;99;Антон де Паскуале;None;Holden Commodore ZB;55.2732;157.617
10;400;Уилл Дэвисон;None;Ford Falcon FG X;54.9247;158.617
11;2;Скотт Пай;None;Holden Commodore ZB;55.0249;158.328
12;97;Шейн ван Гисберген;None;Holden Commodore ZB;55.0596;158.228
13;19;Джек ЛеБрок;None;Holden Commodore ZB;55.0816;158.165
14;1;Джейми Уинкап;None;Holden Commodore ZB;55.0994;158.114
15;78;Симона де Сильвестро;None;Nissan Altima;55.2034;157.816
16;18;Ли Холдсуорт;None;Holden Commodore ZB;55.7084;156.385
17;56;Ричи Стэнэвей;None;Ford Falcon FG X;55.2538;157.672
18;8;Ник Перкат;None;Holden Commodore ZB;55.2559;157.666
19;23;Майкл Карузо;None;Nissan Altima;55.2711;157.623
20;33;Гарт Тандер;None;Holden Commodore ZB;55.3015;157.536
21;25;Джеймс Кортни;None;Holden Commodore ZB;55.3423;157.420
22;34;Джеймс Голдинг;None;Holden Commodore ZB;55.3812;157.309
23;7;Андре Хаймгартнер;None;Nissan Altima;55.3889;157.287
24;21;Тим Бланкард;None;Holden Commodore ZB;55.4884;157.005
25;35;Тодд Хазелвуд;None;Ford Falcon FG X;55.5560;156.814
26;15;Рик Келли;None;Nissan Altima;55.6873;156.445
