Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;9;Дэвид Рейнольдс;None;Holden Commodore ZB;8;54.8125;None;None;158.941
2;5;Марк Винтерботтом;None;Ford Falcon FG X;3;54.8282;0.0157;0.0157;158.896
3;17;Скотт Маклафлин;None;Ford Falcon FG X;3;54.8838;0.0713;0.0556;158.735
4;14;Тим Слейд;None;Holden Commodore ZB;2;54.8897;0.0772;0.0059;158.718
5;400;Уилл Дэвисон;None;Ford Falcon FG X;8;54.9247;0.1122;0.0350;158.617
6;12;Фабиан Култхард;None;Ford Falcon FG X;5;54.9499;0.1374;0.0252;158.544
7;888;Крэг Лаундес;None;Holden Commodore ZB;6;54.9537;0.1412;0.0038;158.533
8;99;Антон де Паскуале;None;Holden Commodore ZB;5;54.9825;0.1700;0.0288;158.450
9;6;Кэмерон Уотерс;None;Ford Falcon FG X;2;55.0003;0.1878;0.0178;158.399
10;55;Час Мостер;None;Ford Falcon FG X;5;55.0243;0.2118;0.0240;158.330
11;2;Скотт Пай;None;Holden Commodore ZB;6;55.0249;0.2124;0.0006;158.328
12;97;Шейн ван Гисберген;None;Holden Commodore ZB;6;55.0596;0.2471;0.0347;158.228
13;19;Джек ЛеБрок;None;Holden Commodore ZB;9;55.0816;0.2691;0.0220;158.165
14;1;Джейми Уинкап;None;Holden Commodore ZB;6;55.0994;0.2869;0.0178;158.114
15;78;Симона де Сильвестро;None;Nissan Altima;5;55.2034;0.3909;0.1040;157.816
16;18;Ли Холдсуорт;None;Holden Commodore ZB;10;55.7084;0.8959;0.5050;156.385
